player,normalized_player,pfr_player_id,gsis_id,cfb_player_id,draft_season,position,college,height_raw,height,weight,forty,vertical,broad,three_cone,short_shuttle,bench,combine_invite,combine_participation,pro_day_used,testing_source,ras_score,speed_score,burst_score,agility_score,ten_yard_split,twenty_yard_split,arm_length,hand_size,wingspan,bmi,testing_coverage_score,testing_notes
Gabe Brkic,gabebrkic,BrkiGa00,00-0037492,gabe-brkic-1,2022,K,Oklahoma,6-2,74.0,197.0,,,,,,,1,1,0,nflverse_combine,,,,,,,,,,25.29054054054054,0.3333333333333333,
Kennedy Brooks,kennedybrooks,BrooKe01,00-0037131,kennedy-brooks-1,2022,RB,Oklahoma,5-11,71.0,209.0,4.59,31.0,120.0,,,,1,1,0,nflverse_combine,,,,,,,,,,29.146399523903987,0.6666666666666666,
Ben Brown,benbrown,BrowBe01,00-0037413,ben-brown-3,2022,C,Mississippi,6-5,77.0,312.0,,,,,,,1,1,0,nflverse_combine,,,,,,,,,,36.99375948726598,0.3333333333333333,
Leddie Brown,leddiebrown,BrowLe03,,leddie-brown-1,2022,RB,West Virginia,6-0,72.0,213.0,4.64,30.0,118.0,,,,1,1,0,nflverse_combine,,,,,,,,,,28.884837962962962,0.6666666666666666,
Montaric Brown,montaricbrown,BrowMo00,00-0037313,montaric-brown-1,2022,CB,Arkansas,6-0,72.0,196.0,4.55,,,,,,1,1,0,nflverse_combine,,,,,,,,,,26.579475308641975,0.4444444444444444,
Logan Bruss,loganbruss,BrusLo00,00-0037836,logan-bruss-1,2022,OG,Wisconsin,6-5,77.0,309.0,5.32,31.0,112.0,7.57,4.55,,1,1,0,nflverse_combine,,,,,,,,,,36.63805026142688,0.8888888888888888,
Coby Bryant,cobybryant,BryaCo01,00-0038136,coby-bryant-1,2022,CB,Cincinnati,6-1,73.0,193.0,4.54,,,,,17.0,1,1,0,nflverse_combine,,,,,,,,,,25.460499155563895,0.5555555555555556,
Spencer Burford,spencerburford,BurfSp00,00-0037829,spencer-burford-1,2022,OG,Texas-San Antonio,6-4,76.0,304.0,5.19,27.5,105.0,,4.73,,1,1,0,nflverse_combine,,,,,,,,,,37.0,0.7777777777777778,
Treylon Burks,treylonburks,BurkTr00,00-0037742,treylon-burks-1,2022,WR,Arkansas,6-2,74.0,225.0,4.55,33.0,122.0,7.28,,,1,1,0,nflverse_combine,,,,,,,,,,28.885135135135137,0.7777777777777778,
Darien Butler,darienbutler,ButlDa00,00-0037503,darien-butler-1,2022,LB,Arizona St.,5-10,70.0,221.0,,,,7.47,,,1,1,0,nflverse_combine,,,,,,,,,,31.70673469387755,0.4444444444444444,
Matthew Butler,matthewbutler,ButlMa02,00-0037280,matthew-butler-1,2022,DT,Tennessee,6-4,76.0,297.0,5.0,32.0,112.0,7.89,4.81,17.0,1,1,0,nflverse_combine,,,,,,,,,,36.14802631578947,1.0,
Percy Butler,percybutler,ButlPe00,00-0038100,percy-butler-1,2022,S,Louisiana,6-0,72.0,194.0,4.36,31.5,123.0,,,,1,1,0,nflverse_combine,,,,,,,,,,26.308256172839506,0.6666666666666666,
Grant Calcaterra,grantcalcaterra,CalcGr00,00-0037086,grant-calcaterra-1,2022,TE,SMU,6-4,76.0,241.0,4.62,,,,,20.0,1,1,0,nflverse_combine,,,,,,,,,,29.332236842105264,0.5555555555555556,
Jake Camarda,jakecamarda,CamaJa00,00-0038042,jake-camarda-1,2022,P,Georgia,6-1,73.0,193.0,4.56,,,,,,1,1,0,nflverse_combine,,,,,,,,,,25.460499155563895,0.4444444444444444,
Chance Campbell,chancecampbell,CampCh02,00-0037312,chance-campbell-1,2022,LB,Mississippi,6-2,74.0,232.0,4.57,39.5,127.0,,,,1,1,0,nflverse_combine,,,,,,,,,,29.783783783783782,0.6666666666666666,
