player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_epa,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_positive_epa_percent,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_epa,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_positive_epa_percent,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Tucker Carter,13140,QB,UTSA,8,2.69,2.53,3.4,4.53,189,331,73.6,110,113,5.5,1.81,3,1,0.9,65.5,74,16,8.6,114,60.3,7,-0.15,0,,,,,72.4,61.4,79.0,,61.0,,,,,,0,4,117,44.7,6.3,68.3,0.9,1,0,0,0,1,6,5.1,636,5.6,54.5,44,54,15.8,4.03,0,5,8.6,40.7,22,41,8.3,75,39.7,2,-0.28,1,,,,,71.2,57.9,26.0,,60.6,,,55.2,,,0,1,80,32.0,26.8,81.3,14.7,11,10,0,10,3,4,5.0,447,8.3
Kale Pearson,13849,QB,AIR FORCE,12,2.69,2.61,3.43,4.2,185,101,75.6,82,83,9.0,1.95,0,4,4.5,69.9,58,13,6.5,84,45.4,4,0.7,0,,,,,50.5,91.1,77.9,,90.6,,,,,,0,1,90,64.3,7.7,113.9,1.2,1,0,0,1,5,2,2.2,768,9.3,64.1,78,88,13.5,3.31,1,5,5.3,48.9,43,47,14.0,101,54.6,7,-0.23,0,,,,,72.2,57.1,78.7,,55.8,,,64.2,,,1,2,109,37.6,17.0,106.3,7.9,8,5,0,8,9,7,6.4,820,9.3
Derrius Vick,18747,QB,OHIO,8,2.87,2.66,3.78,4.41,185,259,74.6,71,72,7.6,1.94,0,0,0.0,70.8,51,11,3.8,72,38.9,2,0.07,0,,,,,70.9,62.1,77.1,,61.7,,,,,,1,2,74,52.8,0.0,95.7,0.0,0,0,0,0,5,3,4.1,398,5.5,57.0,79,87,16.5,3.47,4,10,10.8,49.4,43,61,4.4,113,61.1,2,-0.1,1,,,,,37.3,71.0,79.1,,68.0,,,68.5,,,0,2,120,41.6,16.4,81.6,8.8,10,16,0,4,3,5,4.2,760,8.7
Danny Etling,23519,QB,PURDUE,5,2.52,2.32,3.41,4.83,184,273,68.3,101,104,4.8,1.83,2,2,1.9,60.6,63,14,8.7,106,57.6,6,-0.24,0,,,,,72.2,58.8,78.6,,58.4,,,,,,0,2,107,42.5,14.3,81.8,1.9,2,0,0,1,5,3,2.8,529,5.1,58.8,51,58,10.3,3.47,2,3,5.1,44.8,26,41,13.3,78,42.4,4,-0.34,0,,,,,47.7,38.0,77.4,,36.1,,,58.8,,,2,3,80,37.2,24.4,43.1,12.8,10,10,0,3,1,6,7.5,271,4.7
Matt Johns,24210,QB,VIRGINIA,9,2.92,2.65,4.7,5.76,179,335,72.8,81,82,8.0,1.91,0,9,10.1,67.1,55,22,6.8,82,45.8,4,0.34,0,,,,,71.5,91.6,77.8,,91.2,,,,,,1,0,89,51.2,0.0,107.0,0.0,0,0,0,0,5,2,2.2,565,6.9,57.4,68,81,14.9,3.78,2,4,4.7,42.0,34,42,12.8,97,54.2,5,-0.27,1,,,,,58.1,64.7,78.4,,60.0,,,71.2,,,1,5,101,42.3,4.8,51.1,2.1,2,14,0,10,3,5,5.0,532,6.6
Taysom Hill,12112,QB,BYU,5,3.15,2.78,3.61,4.83,172,128,83.3,66,67,4.4,1.94,1,0,0.0,77.6,52,7,5.5,67,39.0,3,0.27,0,,,,,70.7,75.0,76.8,,74.2,,,,,,0,1,69,55.2,0.0,92.9,0.0,0,0,0,0,1,0,0.0,442,6.6,65.5,58,65,13.0,3.92,0,4,5.6,55.4,36,61,5.3,105,61.0,2,-0.12,1,,,,,36.5,79.8,78.9,,71.6,,,77.2,,,0,2,115,44.8,24.6,100.2,14.3,15,25,0,7,6,4,3.5,530,8.2
Austin Robinson,38520,QB,UTSA,6,2.29,2.1,3.09,4.4,169,331,70.0,110,117,5.3,1.9,3,0,0.0,59.0,69,31,10.4,120,71.0,8,-0.3,0,,,,,55.8,41.0,79.4,,41.3,,,,,,3,4,128,38.3,9.7,56.3,2.5,3,0,0,1,0,6,4.7,543,4.6,56.0,25,29,13.4,3.3,1,2,5.9,41.4,12,20,14.3,48,28.4,2,-0.67,1,,,,,14.3,47.3,75.8,,29.5,,,88.6,,,2,1,53,33.3,50.0,48.3,20.8,10,9,0,1,1,6,11.3,102,3.5
Terrel Hunt,17224,QB,SYRACUSE,5,2.65,2.45,3.45,4.3,167,304,72.7,77,79,3.1,1.88,1,2,2.5,64.6,51,15,8.9,79,47.3,5,-0.34,2,,,,,71.2,69.1,77.4,,68.4,,,,,,0,2,80,32.9,0.0,65.8,0.0,0,0,0,1,0,1,1.3,389,4.9,60.0,65,69,14.1,3.35,0,5,6.8,47.8,33,40,15.4,88,52.7,6,-0.13,1,,,,,30.1,71.8,30.9,,70.7,,,66.2,,,1,2,95,42.0,5.0,70.4,2.3,2,17,0,3,1,7,7.4,592,8.6
Zander Diamont,28542,QB,INDIANA,6,2.99,2.63,3.84,5.01,166,190,75.9,79,83,3.6,1.81,3,1,1.2,60.2,50,7,16.7,83,50.0,10,-0.46,0,,,,,71.4,71.3,77.7,,70.6,,,,,,1,0,86,32.5,0.0,68.4,0.0,0,0,0,0,0,0,0.0,321,3.9,42.2,45,50,14.7,4.17,0,0,0.0,28.0,14,44,26.3,83,50.0,5,-0.64,1,,,,,29.2,32.2,77.8,,28.2,,,67.0,,,0,4,87,27.7,38.6,16.6,20.5,17,16,0,5,1,6,6.9,194,3.9
Thomas Woodson,26372,QB,AKRON,8,2.68,2.37,4.12,4.9,165,102,60.5,81,84,8.9,1.89,3,2,2.2,56.0,47,17,4.1,84,50.9,2,-0.08,1,,,,,71.6,36.6,78.0,,37.2,,,,,,0,3,92,44.0,0.0,71.2,0.0,0,0,0,0,4,6,6.5,433,5.2,55.4,56,59,13.8,3.49,0,4,6.6,49.2,29,36,6.5,81,49.1,2,-0.25,0,,,,,71.3,52.0,77.6,,50.2,,,60.4,,,0,3,84,42.0,16.7,53.8,7.4,6,16,0,3,1,5,6.0,373,6.3
Reggie Bonnafon,47542,QB,LOUISVILLE,9,3.18,2.86,3.28,4.91,164,210,59.5,42,44,6.5,2.06,2,1,2.2,45.5,20,18,20.0,49,29.9,5,-0.31,0,,,,,69.7,56.3,75.6,,56.1,,,,,,0,1,50,34.7,27.8,63.5,10.2,5,0,0,0,2,1,2.0,189,4.3,66.2,71,76,15.3,3.66,0,5,6.3,53.9,41,63,12.8,115,70.1,6,-0.16,0,,,,,55.1,80.1,79.1,,78.1,,,67.8,,,0,3,119,37.4,28.6,80.8,15.7,18,21,0,5,3,2,1.7,675,8.9
Johnny McCrary,26439,QB,VANDERBILT,7,2.59,2.45,3.28,5.17,163,333,69.0,87,95,7.3,2.02,1,4,3.9,56.8,54,25,10.0,95,58.3,6,0.03,0,,,,,72.0,74.3,78.4,,73.4,,,,,,4,1,102,44.2,0.0,91.2,0.0,0,0,0,3,6,1,1.0,571,6.0,48.1,52,57,14.6,3.39,0,5,7.9,42.1,24,28,4.0,68,41.7,1,-0.37,0,,,,,46.4,44.3,77.2,,45.4,,,53.7,,,3,7,75,38.2,14.3,45.4,5.9,4,7,0,2,3,9,12.0,414,7.3
Montell Cozart,46563,QB,KANSAS,6,2.94,2.66,3.7,4.91,156,198,74.6,63,65,5.6,1.69,2,0,0.0,66.2,43,8,8.5,67,42.9,4,-0.03,1,,,,,70.6,55.1,76.8,,54.8,,,,,,0,1,68,47.8,25.0,89.1,3.0,2,0,0,0,3,2,2.9,358,5.5,50.0,46,64,13.2,3.89,1,3,4.5,32.8,21,48,8.7,89,57.1,2,-0.71,1,,,,,35.4,31.3,77.9,,30.1,,,55.3,,,1,6,91,19.1,25.0,23.1,13.5,12,13,0,16,2,7,7.7,343,5.4
Deshaun Watson,11767,QB,CLEMSON,8,2.71,2.46,4.21,4.88,155,140,84.5,71,71,4.1,1.62,0,2,2.7,81.7,58,9,3.3,71,45.8,2,0.66,1,,,,,70.8,86.2,77.0,,85.0,,,,,,0,0,73,59.2,0.0,150.0,0.0,0,0,0,0,9,0,0.0,745,10.5,64.1,64,66,19.1,3.63,0,6,8.6,53.0,35,37,14.6,84,54.2,6,0.12,0,,,,,71.5,79.4,77.9,,79.8,,,60.6,,,0,2,90,42.9,21.6,104.4,9.5,8,10,0,2,5,2,2.2,721,10.9
Darell Garretson,46397,QB,UTAH ST,5,2.34,2.2,3.61,4.18,148,329,76.1,88,92,2.0,1.74,2,0,0.0,68.5,63,13,6.0,92,62.2,4,-0.16,0,,,,,71.8,47.5,31.2,,48.6,,,,,,0,3,96,42.4,0.0,73.4,0.0,0,0,0,2,2,4,4.2,454,4.9,73.7,38,43,16.8,3.33,0,7,15.2,62.8,27,25,3.6,56,37.8,1,0.5,0,,,,,70.2,90.1,76.2,,90.3,,,59.6,,,1,0,59,53.6,32.0,146.1,14.3,8,5,0,4,6,1,1.7,668,15.5
Kevin Ellison,46555,QB,GA SOUTHRN,12,2.74,2.5,2.82,4.75,148,174,83.3,60,61,3.9,1.77,1,1,1.6,72.1,44,4,12.0,63,42.6,6,0.05,0,,,,,70.4,69.6,76.5,,66.4,,,67.9,,,0,2,64,44.4,25.0,79.6,1.6,1,1,0,0,1,2,3.1,375,6.1,52.5,59,66,20.9,3.46,0,7,9.5,39.4,26,37,16.1,85,57.4,5,0.17,1,,,,,50.5,72.6,78.0,,67.5,,,73.8,,,3,1,93,44.7,13.5,87.5,5.9,5,14,0,4,4,3,3.2,613,9.3
Kent Myers,30603,QB,UTAH ST,7,2.51,2.22,3.42,4.34,143,329,82.6,69,71,4.1,1.66,2,3,3.9,76.1,54,10,5.3,75,52.4,3,0.02,0,,,,,47.9,73.1,77.5,,72.3,,,,,,0,0,81,44.0,40.0,112.7,5.3,4,0,0,0,4,1,1.2,485,6.8,55.6,45,46,14.5,3.45,0,3,6.3,50.0,23,32,8.0,68,47.6,2,-0.29,1,,,,,45.2,66.6,22.4,,65.2,,,66.0,,,0,3,71,38.2,31.3,55.9,14.7,10,12,0,1,1,3,4.2,354,7.7
Keenan Reynolds,10816,QB,NAVY,11,3.34,3.15,3.87,4.89,138,237,80.8,26,26,10.7,1.93,0,0,0.0,65.4,17,3,19.0,26,18.8,4,0.35,0,,,,,67.9,75.8,73.4,,75.1,,,,,,0,0,27,53.8,0.0,107.5,0.0,0,0,0,0,1,1,3.7,238,9.2,50.6,77,85,15.0,3.67,0,5,5.7,41.2,35,66,10.3,112,81.2,4,-0.53,0,,,,,72.4,46.5,79.0,,46.0,,,59.7,,,4,3,116,34.8,30.3,71.0,17.9,20,7,0,4,5,7,6.0,605,7.1
Cole Weeks,15145,QB,SO MISS,4,2.34,2.18,2.91,4.65,131,296,62.8,78,80,8.1,1.85,0,6,7.2,58.8,47,24,4.1,84,64.1,2,-0.21,0,,,,,34.1,61.4,77.8,,61.0,,,,,,0,2,87,44.0,16.7,70.6,4.8,4,0,0,2,1,4,4.6,496,6.2,41.9,31,32,18.8,3.21,1,3,8.8,37.5,12,22,7.7,47,35.9,1,-0.31,0,,,,,22.2,54.5,75.5,,55.6,,,55.4,,,0,3,49,36.2,50.0,39.2,23.4,11,4,0,0,1,5,10.2,265,8.3
Tanner McEvoy,11288,QB,WISCONSIN,10,3.02,2.74,4.4,4.78,131,349,82.9,41,44,3.5,1.68,2,0,0.0,72.7,32,4,5.9,45,34.4,2,0.16,0,,,,,69.5,74.5,75.4,,72.4,,,64.0,,,0,2,47,57.8,0.0,96.8,0.0,0,1,0,1,3,1,2.1,320,7.3,57.1,63,68,15.1,3.72,0,1,1.4,48.5,33,37,8.3,86,65.6,3,0.0,0,,,,,71.5,60.8,77.8,,52.3,,,77.7,,,0,4,89,41.9,10.8,51.7,4.7,4,14,0,5,2,6,6.7,389,5.7
Treon Harris,27651,QB,FLORIDA,9,2.96,2.73,3.91,4.47,130,163,69.4,36,40,2.9,1.9,4,1,2.4,60.0,24,7,4.0,40,30.8,1,0.06,0,,,,,69.1,50.7,74.9,,50.6,,,,,,0,0,41,37.5,0.0,102.4,0.0,0,0,0,0,3,1,2.4,243,6.1,56.1,66,71,20.4,3.43,3,5,6.8,43.7,31,35,16.2,90,69.2,6,0.02,0,,,,,36.6,72.6,78.1,,70.4,,,66.8,,,1,4,94,42.2,20.0,88.7,7.8,7,12,0,1,6,2,2.1,776,10.9
Lamar Jordan,29577,QB,NEW MEXICO,11,2.74,2.55,3.62,4.19,129,241,70.9,55,55,6.0,1.84,0,0,0.0,65.5,36,10,7.7,55,42.6,3,0.27,0,,,,,70.1,58.4,76.2,,58.1,,,,,,0,2,59,41.8,0.0,87.2,0.0,0,0,0,0,2,3,5.1,443,8.1,42.9,56,57,19.5,3.41,0,3,5.0,40.4,23,31,4.2,74,57.4,1,0.05,0,,,,,71.1,50.3,77.3,,45.7,,,67.6,,,0,3,78,36.5,19.4,70.7,8.1,6,11,0,1,4,4,5.1,459,8.1
Skyler Howard,12262,QB,W VIRGINIA,4,3.02,2.92,3.4,5.0,119,343,70.6,51,51,10.5,1.87,0,2,3.8,52.9,27,9,25.0,51,42.9,9,-0.05,0,,,,,69.8,85.5,75.8,,84.3,,,,,,0,0,53,47.1,0.0,104.2,0.0,0,0,0,0,4,1,1.9,390,7.6,59.3,54,60,13.2,3.88,0,2,3.1,48.3,29,30,9.4,68,57.1,3,0.02,0,,,,,45.8,54.8,77.0,,52.8,,,65.3,,,0,0,73,39.7,10.0,95.1,4.4,3,5,0,6,4,3,4.1,439,7.3
Cardale Jones,10773,QB,OHIO STATE,8,3.21,2.82,4.08,4.96,115,260,87.1,31,32,2.1,1.62,1,0,0.0,75.0,24,4,11.1,32,27.8,3,-0.59,0,,,,,68.5,70.8,74.1,,70.3,,,,,,0,2,33,43.8,0.0,62.4,0.0,0,0,0,0,0,0,0.0,183,5.7,62.3,53,60,19.0,3.82,0,3,4.8,53.3,32,38,3.0,83,72.2,1,0.37,0,,,,,44.7,82.7,77.8,,71.7,,,83.3,,,0,0,87,53.0,13.2,132.1,6.0,5,18,0,7,7,1,1.1,672,11.2
Rob Bolden,14307,QB,E MICHIGAN,6,2.74,2.4,4.07,4.8,115,160,56.9,58,59,5.8,1.95,1,2,3.4,47.5,28,19,15.2,60,52.2,5,-0.55,0,,,,,70.2,53.6,76.3,,53.5,,,,,,0,3,60,35.0,5.3,60.7,1.7,1,0,0,0,4,3,5.0,250,4.2,48.4,31,37,9.7,3.6,0,1,2.5,35.1,13,28,13.3,55,47.8,2,-0.62,2,,,,,41.1,27.8,19.0,,27.1,,,57.3,,,0,2,59,29.1,28.6,25.6,14.5,8,10,0,6,0,6,10.2,149,4.0
Troy Mitchell,17762,QB,W CAROLINA,2,2.21,2.08,3.63,6.8,111,344,80.8,73,75,4.2,1.65,0,0,0.0,68.0,51,18,13.6,75,67.6,8,0.07,0,,,,,71.1,68.7,77.3,,68.1,,,,,,0,0,78,45.3,0.0,82.6,0.0,0,0,0,2,1,0,0.0,350,4.7,84.6,26,29,12.1,3.37,0,3,9.7,62.1,18,22,18.2,36,32.4,4,0.11,0,,,,,68.9,78.4,74.6,,79.2,,,57.3,,,0,0,38,52.8,27.3,124.1,16.7,6,1,0,3,3,1,2.6,249,8.6
Steven Bench,17685,QB,USF,6,2.67,2.58,2.9,4.12,111,327,80.0,45,49,7.2,2.0,2,2,3.8,63.3,31,10,13.9,53,47.7,5,0.21,2,,,,,70.0,75.6,76.0,,76.0,,,57.3,,,0,0,56,47.2,30.0,107.5,5.7,3,1,0,2,3,0,0.0,380,7.8,52.4,42,50,13.7,3.28,0,1,2.0,36.0,18,26,18.2,58,52.3,4,-0.53,0,,,,,70.2,60.3,17.2,,61.6,,,59.5,,,1,2,60,34.5,15.4,34.7,6.9,4,4,0,7,0,3,5.0,231,4.6
Blake Jurich,12937,QB,S JOSE ST,5,2.47,2.29,3.61,4.23,110,285,79.7,64,65,5.0,1.85,0,2,2.9,72.3,47,14,7.8,68,61.8,4,-0.04,0,,,,,40.3,55.5,77.0,,55.2,,,,,,1,1,72,47.1,21.4,85.2,4.4,3,0,0,0,1,2,2.8,377,5.8,46.7,30,32,18.9,3.47,0,4,12.1,37.5,12,24,14.3,42,38.2,2,-0.18,0,,,,,69.1,51.9,75.0,,44.7,,,77.4,,,0,4,43,38.1,25.0,71.7,14.3,6,4,0,2,4,6,14.0,295,9.2
C.J. Beathard,11859,QB,IOWA,8,2.84,2.56,3.33,5.23,106,192,71.8,39,39,3.7,1.71,0,1,2.6,61.5,24,5,14.3,39,36.8,4,-0.22,0,,,,,68.9,75.8,74.7,,75.0,,,,,,0,0,39,43.6,0.0,89.8,0.0,0,0,0,0,2,0,0.0,181,4.6,66.7,48,53,14.8,3.51,0,5,8.5,52.8,28,26,12.5,67,63.2,4,0.25,0,,,,,70.8,61.3,77.0,,60.8,,,60.5,,,3,2,73,43.3,15.4,85.9,6.0,4,10,0,2,3,6,8.2,466,8.8
Chuckie Keeton,19710,QB,UTAH ST,3,2.75,2.53,3.55,5.41,102,329,76.8,56,57,5.3,1.87,1,1,1.7,70.2,40,7,7.0,58,56.9,3,-0.09,2,,,,,70.2,65.6,19.5,,65.1,,,64.3,,,0,2,60,43.1,0.0,80.7,0.0,0,1,0,0,2,4,6.7,316,5.5,50.0,30,36,12.1,3.9,0,2,5.0,30.6,11,22,26.7,44,43.1,4,-0.69,0,,,,,69.6,50.0,75.5,,49.4,,,58.9,,,1,2,49,20.5,9.1,17.1,4.5,2,6,0,5,0,2,4.1,110,3.1
Mason Rudolph,46569,QB,OKLA STATE,3,2.59,2.29,3.35,6.58,99,262,67.4,46,46,7.7,1.73,0,0,0.0,60.9,28,10,9.7,48,48.5,3,-0.01,1,,,,,69.7,65.9,75.7,,65.4,,,,,,0,2,51,41.7,20.0,82.2,4.2,2,0,0,0,2,2,3.9,365,7.9,65.8,38,40,17.8,3.41,0,4,8.9,52.5,21,27,16.0,51,51.5,4,-0.14,0,,,,,39.9,71.4,76.0,,73.8,,,53.1,,,0,2,56,41.2,22.2,109.2,11.8,6,5,0,2,4,4,7.1,488,12.2
Angel Santiago,15696,QB,ARMY,12,3.2,2.95,3.17,4.57,96,114,59.1,22,22,10.8,2.06,0,0,0.0,54.5,12,5,7.7,25,26.0,1,-0.03,0,,,,,67.8,54.8,73.3,,54.6,,,,,,0,0,26,40.0,60.0,73.9,12.0,3,0,0,0,0,1,3.8,139,6.3,59.5,42,48,13.9,3.6,2,0,0.0,47.9,23,37,8.0,71,74.0,2,-0.23,0,,,,,46.1,50.8,77.2,,50.7,,,57.4,,,1,1,75,38.0,27.0,70.6,14.1,10,13,0,3,1,3,4.0,349,7.3
Justin Arias,12614,QB,IDAHO ST,2,2.3,2.19,2.84,4.83,95,186,62.9,62,65,7.5,1.88,1,2,2.7,52.3,34,13,12.8,67,70.5,5,-0.47,3,,,,,71.0,63.3,77.2,,62.8,,,,,,0,3,76,31.3,15.4,49.3,3.0,2,0,0,2,1,3,3.9,277,4.3,52.6,19,22,13.9,3.33,0,2,8.7,45.5,10,12,0.0,28,29.5,0,0.01,0,,,,,27.7,49.0,73.7,,53.6,,,49.2,,,0,0,30,32.1,25.0,115.0,10.7,3,3,0,3,3,2,6.7,187,8.5
Dontreal Pruitt,17469,QB,TROY,7,2.98,2.53,4.85,5.27,94,318,79.2,53,53,5.0,1.78,0,5,8.9,66.0,35,4,16.7,53,56.4,7,-0.39,0,,,,,70.0,81.6,76.0,,80.6,,,,,,0,1,56,32.1,0.0,79.3,0.0,0,0,0,0,1,2,3.6,302,5.7,50.0,24,25,22.7,4.52,0,3,11.1,40.0,10,25,16.7,41,43.6,2,-0.05,0,,,,,69.2,57.0,75.0,,58.8,,,56.4,,,0,0,43,36.6,16.0,76.4,9.8,4,12,0,1,0,2,4.7,246,9.8
Dajon Williams,29452,QB,N TEXAS,6,3.03,2.81,3.83,4.4,93,251,83.7,43,44,6.7,1.95,0,3,6.8,77.3,34,7,5.6,44,47.3,2,0.35,0,,,,,69.3,74.3,75.1,,73.5,,,,,,0,1,44,63.6,0.0,124.9,0.0,0,0,0,1,4,1,2.3,397,9.0,50.0,26,33,17.0,4.0,0,3,8.8,36.4,12,25,7.7,49,52.7,1,-0.24,0,,,,,23.5,44.0,75.6,,36.1,,,72.0,,,1,3,50,36.7,36.0,51.3,18.4,9,7,0,6,3,5,10.0,210,6.4
Kalen Henderson,14819,QB,NICHOLLS,3,3.04,2.86,3.52,4.48,91,243,68.6,35,36,6.2,2.05,0,0,0.0,58.3,21,15,12.5,37,40.7,3,-0.42,2,,,,,68.9,42.2,74.6,,42.4,,,,,,1,2,38,40.5,6.7,58.3,2.7,1,0,0,0,1,2,5.3,186,5.2,58.6,29,36,10.0,3.72,1,0,0.0,30.6,11,28,35.3,54,59.3,6,-0.59,2,,,,,70.0,46.2,75.9,,46.8,,,55.8,,,2,1,55,22.2,50.0,29.3,25.9,14,4,0,4,0,1,1.8,115,3.2
Al Cobb,46400,QB,VA MILT IN,2,2.52,2.37,3.6,4.73,90,336,81.8,44,44,3.6,1.81,0,0,0.0,72.7,32,8,11.1,44,48.9,4,-0.22,1,,,,,69.3,58.2,75.1,,57.9,,,,,,0,1,44,43.2,0.0,84.1,0.0,0,0,0,0,1,2,4.5,246,5.6,64.9,37,39,10.1,3.2,0,0,0.0,51.3,20,21,16.7,46,51.1,4,-0.52,0,,,,,35.8,43.0,75.3,,43.8,,,55.4,,,2,1,46,41.3,14.3,53.4,6.5,3,4,0,0,0,4,8.7,180,4.6
Munchie Legaux,16048,QB,CINCINNATI,7,2.74,2.43,4.55,5.62,89,138,83.0,47,48,5.3,1.92,1,3,6.0,75.0,36,3,7.7,48,53.9,3,0.43,0,,,,,69.7,70.1,75.6,,69.5,,,,,,0,1,50,60.4,0.0,101.1,0.0,0,0,0,0,2,1,2.0,361,7.5,60.0,30,31,13.0,3.7,0,0,0.0,54.8,17,18,5.6,41,46.1,1,-0.17,0,,,,,69.3,52.8,75.1,,53.9,,,55.7,,,0,0,44,41.5,22.2,87.2,9.8,4,6,0,1,1,1,2.3,213,6.9
Seth Russell,46467,QB,BAYLOR,8,2.23,2.14,,4.6,88,118,66.7,63,68,12.5,1.8,3,6,8.6,58.8,40,10,4.8,68,77.3,2,0.37,1,,,,,70.7,87.8,76.9,,86.4,,,,,,0,0,70,47.1,0.0,119.1,0.0,0,0,0,2,6,0,0.0,629,9.3,56.3,16,17,18.1,3.68,0,2,11.8,47.1,8,8,11.1,20,22.7,1,0.76,0,,,,,67.4,55.4,72.7,,50.4,,,65.5,,,0,1,22,55.0,0.0,98.9,0.0,0,3,0,1,2,3,13.6,175,10.3
Tim Boyle,21956,QB,UCONN,9,2.41,2.28,3.77,5.4,88,146,67.3,49,51,6.1,1.8,0,1,1.9,56.9,29,6,12.1,51,58.0,4,-0.1,0,,,,,69.8,57.7,75.7,,57.4,,,,,,1,1,52,47.1,0.0,67.5,0.0,0,0,0,1,1,1,1.9,241,4.7,63.0,27,30,12.5,3.26,1,2,6.7,43.3,13,17,23.5,37,42.0,4,-1.44,0,,,,,20.1,41.7,74.5,,49.0,,,43.6,,,1,2,37,18.9,35.3,23.5,16.2,6,1,0,1,0,5,13.5,94,3.1
Sawyer Kollmorgen,19637,QB,N IOWA,2,2.51,2.32,3.72,4.97,86,255,58.0,50,52,9.9,1.96,1,2,3.7,50.0,26,11,10.3,53,61.6,3,0.3,0,,,,,70.0,70.4,75.9,,69.8,,,,,,1,0,55,41.5,9.1,87.2,1.9,1,0,0,0,2,0,0.0,382,7.3,55.0,20,25,12.0,3.39,0,0,0.0,40.0,10,14,9.1,33,38.4,1,-0.38,0,,,,,68.5,50.6,74.1,,50.5,,,58.4,,,0,2,33,30.3,35.7,72.6,15.2,5,3,0,5,2,2,6.1,263,10.5
Nick Montana,12855,QB,TULANE,4,2.72,2.55,4.7,5.0,86,319,64.4,45,47,7.8,1.94,1,0,0.0,59.6,28,10,3.4,47,54.7,1,-0.3,1,,,,,69.5,56.0,75.4,,55.8,,,,,,0,1,47,29.8,0.0,64.6,0.0,0,0,0,1,1,1,2.1,165,3.5,62.1,29,33,8.9,3.66,1,2,5.9,51.5,17,17,5.6,39,45.3,1,-0.45,0,,,,,31.8,54.5,74.9,,55.1,,,57.4,,,0,2,41,38.5,5.9,42.4,2.6,1,5,0,3,0,3,7.3,179,5.4
Kyle Bolin,46414,QB,LOUISVILLE,4,2.5,2.36,3.75,4.37,86,210,71.7,46,50,9.8,1.98,2,2,4.0,56.0,28,11,15.2,51,59.3,5,-0.12,0,,,,,69.7,73.9,75.7,,73.1,,,,,,2,2,51,49.0,9.1,88.9,2.0,1,0,0,0,3,2,3.9,442,8.8,64.3,28,29,13.4,3.25,0,2,6.7,58.6,17,15,5.6,35,40.7,1,0.37,0,,,,,68.8,73.7,74.5,,71.1,,,67.0,,,0,1,37,51.4,20.0,87.4,8.6,3,3,0,1,1,3,8.1,274,9.4
Parker McKenzie,45035,QB,ABILENE CH,2,2.53,2.4,2.6,4.08,84,100,85.0,40,41,4.2,1.77,1,0,0.0,82.9,34,6,0.0,43,51.2,0,0.36,1,,,,,69.3,63.7,75.1,,63.2,,,,,,0,3,44,55.8,33.3,81.4,4.7,2,0,0,0,2,2,4.5,285,7.0,65.6,32,32,14.8,3.33,0,3,7.7,62.5,20,18,4.8,41,48.8,1,0.68,0,,,,,69.5,77.3,75.4,,84.5,,,44.2,,,0,0,48,43.9,16.7,145.8,7.3,3,6,0,0,4,0,0.0,409,12.8
Mitch Trubisky,11757,QB,N CAROLINA,9,2.39,2.3,2.8,4.17,84,245,66.0,50,51,7.9,1.85,0,1,1.9,60.8,31,5,6.1,51,60.7,2,-0.32,1,,,,,69.8,54.6,75.8,,54.5,,,,,,0,2,53,51.0,0.0,78.4,0.0,0,0,0,1,3,1,1.9,274,5.4,52.0,25,27,18.1,3.22,0,0,0.0,40.7,11,17,15.4,33,39.3,2,-0.33,0,,,,,68.4,39.8,74.1,,42.8,,,50.2,,,0,2,33,36.4,17.6,58.4,9.1,3,3,0,2,2,2,6.1,185,6.9
