season,cfbd_id,player,position,team,conference,average_ppa_all,average_ppa_pass,average_ppa_rush,average_ppa_first_down,average_ppa_second_down,average_ppa_third_down,average_ppa_standard_downs,average_ppa_passing_downs,total_ppa_all,total_ppa_pass,total_ppa_rush,total_ppa_first_down,total_ppa_second_down,total_ppa_third_down,total_ppa_standard_downs,total_ppa_passing_downs,normalized_name,canonical_school
2020,4050370,Keon Howard,QB,Tulane,AAC,-0.018,-0.185,0.764,-0.224,0.243,0.018,-0.245,0.315,-1.32,-11.256,9.936,-5.147,6.808,0.335,-10.777,9.457,keon howard,Tulane
2021,4050370,Keon Howard,QB,UT Martin,,0.109,-0.068,0.818,-0.593,-0.006,0.998,-0.035,0.309,5.998,-3.001,8.999,-11.865,-0.096,17.959,-1.118,7.116,keon howard,UT Martin
2017,4038433,Keondre Wudtee,QB,Oklahoma State,B12,0.223,-0.422,0.867,0.245,-0.993,-0.136,0.867,-0.422,1.335,-1.266,2.601,0.49,-0.993,-0.273,2.601,-1.266,keondre wudtee,Oklahoma State
2018,4038433,Keondre Wudtee,QB,Oklahoma State,B12,0.135,-0.106,0.303,-0.175,-0.276,0.168,0.322,0.003,2.29,-0.741,3.031,-0.699,-1.934,0.839,2.256,0.035,keondre wudtee,Oklahoma State
2014,3131252,Ker-Sean Wilson,QB,Savannah St,,-0.079,-0.127,0.069,-0.362,0.132,0.047,-0.173,0.003,-5.764,-6.997,1.233,-8.317,3.575,0.948,-5.868,0.104,ker sean wilson,Savannah St
2015,3131252,Ker-Sean Wilson,QB,Savannah St,,0.246,0.38,0.023,-0.16,-0.071,0.253,0.095,0.364,3.936,3.798,0.138,-0.798,-0.5,0.758,0.662,3.274,ker sean wilson,Savannah St
2015,552663,Kevin Anderson,QB,Fordham,,0.464,0.666,-0.119,0.494,0.231,0.858,0.427,0.504,16.256,17.329,-1.073,5.924,3.468,6.864,7.68,8.576,kevin anderson,Fordham
2016,552663,Kevin Anderson,QB,Fordham,,0.127,0.194,-0.336,0.016,0.146,0.823,-0.135,0.465,6.973,9.326,-2.353,0.282,2.78,12.343,-4.198,11.171,kevin anderson,Fordham
2017,552663,Kevin Anderson,QB,Fordham,,0.249,0.303,-0.118,0.056,0.014,0.651,0.172,0.323,11.71,12.42,-0.71,0.899,0.246,7.165,3.95,7.76,kevin anderson,Fordham
2022,5083725,Kevin Conway,QB,Eastern Illinois,,-0.339,-0.523,-0.093,-0.213,-0.664,-0.206,-0.512,-0.209,-2.37,-2.091,-0.279,-0.426,-1.327,-0.617,-1.535,-0.836,kevin conway,Eastern Illinois
2014,513823,Kevin Earl,QB,South Dakota,,0.054,0.093,-0.313,0.527,-0.252,0.278,0.022,0.081,1.676,2.616,-0.94,3.69,-2.777,3.332,0.306,1.37,kevin earl,South Dakota
2014,532925,Kevin Ellison,QB,Georgia Southern,SBC,0.316,0.21,0.4,0.155,0.314,0.549,0.218,0.496,93.439,27.783,65.656,16.88,33.949,41.713,41.873,51.565,kevin ellison,Georgia Southern
2015,532925,Kevin Ellison,QB,Georgia Southern,SBC,0.224,-0.054,0.46,-0.076,0.167,0.469,0.139,0.333,44.766,-4.961,49.727,-5.24,11.387,28.134,15.763,29.003,kevin ellison,Georgia Southern
2016,532925,Kevin Ellison,QB,Georgia Southern,SBC,0.294,0.391,0.211,0.008,0.441,0.496,0.101,0.633,72.212,44.165,28.047,0.758,37.888,31.256,15.885,56.327,kevin ellison,Georgia Southern
2014,516357,Kevin Hogan,QB,Stanford,PAC,0.301,0.332,0.148,0.147,0.38,0.511,0.231,0.41,128.014,117.233,10.781,24.917,53.545,57.268,60.39,67.623,kevin hogan,Stanford
2015,516357,Kevin Hogan,QB,Stanford,PAC,0.462,0.481,0.37,0.469,0.282,0.703,0.44,0.491,179.131,154.723,24.408,59.098,41.51,76.573,99.046,80.084,kevin hogan,Stanford
2022,5084084,Kevin Jennings,QB,SMU,AAC,0.635,0.832,-0.501,-0.031,0.644,1.292,0.497,0.783,17.132,19.135,-2.003,-0.283,5.792,11.624,6.959,10.173,kevin jennings,SMU
2023,5084084,Kevin Jennings,QB,SMU,AAC,0.289,0.287,0.296,-0.273,0.331,0.879,0.1,0.506,40.429,30.958,9.471,-14.183,14.567,34.282,7.521,32.909,kevin jennings,SMU
2024,5084084,Kevin Jennings,QB,SMU,ACC,0.391,0.439,0.172,0.139,0.376,0.877,0.157,0.674,184.807,170.0,14.807,27.007,55.593,106.122,40.677,144.13,kevin jennings,SMU
2025,5084084,Kevin Jennings,QB,SMU,ACC,0.331,0.376,0.129,0.334,0.194,0.444,0.272,0.417,151.137,152.854,5.931,65.106,28.779,47.499,74.028,77.109,kevin jennings,SMU
2018,3912397,Kevin Johnson,QB,Richmond,,0.1,0.21,-0.359,-0.37,0.685,0.102,-0.215,0.381,3.586,6.099,-2.513,-5.552,8.218,0.919,-3.661,7.247,kevin johnson,Richmond
2016,550050,Kevin Olsen,QB,Charlotte,CUSA,-0.067,-0.054,-0.448,-0.366,0.14,0.029,-0.253,0.15,-10.435,-8.193,-2.241,-22.678,5.863,1.327,-21.233,10.799,kevin olsen,Charlotte
2014,515580,Kevin Sousa,QB,Wake Forest,ACC,-0.422,-2.188,-0.069,-0.456,0.512,,-0.456,-0.388,-2.531,-2.188,-0.343,-1.367,1.024,0.0,-1.367,-1.165,kevin sousa,Wake Forest
2025,5141661,Kevin Sperry,QB,Florida State,ACC,0.468,0.526,0.245,-0.167,0.768,4.724,0.015,1.566,11.221,9.994,1.227,-2.344,5.373,9.449,0.257,10.964,kevin sperry,Florida State
2017,3125336,Kevin Thomson,QB,Sacramento State,,-0.107,-0.062,-0.211,-0.44,-0.291,0.327,-0.392,0.078,-3.532,-1.425,-2.107,-3.959,-3.497,3.923,-5.094,1.562,kevin thomson,Sacramento State
2018,3125336,Kevin Thomson,QB,Sacramento State,,0.28,0.582,-0.39,0.317,0.174,0.394,0.308,0.246,8.125,11.633,-3.508,2.856,1.743,3.545,4.925,3.2,kevin thomson,Sacramento State
2019,3125336,Kevin Thomson,QB,Sacramento State,,0.028,0.106,-0.458,0.0,-0.007,0.265,-0.033,0.106,3.083,9.954,-6.872,0.003,-0.282,6.63,-2.017,5.099,kevin thomson,Sacramento State
2025,5164567,Kevin White,QB,North Carolina A&T,,0.159,0.157,0.243,-0.091,0.296,0.424,-0.02,0.345,38.238,30.148,11.179,-7.399,25.495,28.809,-2.469,40.707,kevin white,North Carolina A&T
2019,4430789,Kevin Yeager,QB,Incarnate Word,,0.145,0.145,,0.164,0.292,-0.25,0.37,-0.005,1.451,1.451,0.0,0.492,1.459,-0.5,1.479,-0.028,kevin yeager,Incarnate Word
2023,5085337,Keyone Jenkins,QB,Florida International,CUSA,0.208,0.201,0.242,0.049,0.105,0.519,0.12,0.329,86.793,68.388,18.404,7.664,13.974,57.067,28.831,57.962,keyone jenkins,Florida International
2024,5085337,Keyone Jenkins,QB,Florida International,CUSA,0.273,0.33,-0.004,0.297,0.24,0.323,0.197,0.394,102.644,102.932,-0.288,46.551,27.342,29.363,45.564,57.08,keyone jenkins,Florida International
2025,5085337,Keyone Jenkins,QB,Florida International,CUSA,0.131,0.123,0.201,0.022,0.198,0.337,0.074,0.215,35.391,28.561,7.249,2.296,15.617,24.637,11.929,23.462,keyone jenkins,Florida International
