season,cfbd_id,player,position,team,conference,average_ppa_all,average_ppa_pass,average_ppa_rush,average_ppa_first_down,average_ppa_second_down,average_ppa_third_down,average_ppa_standard_downs,average_ppa_passing_downs,total_ppa_all,total_ppa_pass,total_ppa_rush,total_ppa_first_down,total_ppa_second_down,total_ppa_third_down,total_ppa_standard_downs,total_ppa_passing_downs,normalized_name,canonical_school
2025,5172415,Dez Thomas II,QB,Georgetown,,0.108,0.012,0.366,0.016,-0.035,0.535,-0.006,0.247,32.371,2.711,29.659,1.598,-3.27,49.75,-0.99,33.361,dez thomas,Georgetown
2022,5084180,Diego Pavia,QB,New Mexico State,Ind,0.416,0.373,0.509,0.309,0.227,0.719,0.227,0.651,114.525,69.752,44.773,28.098,20.854,59.694,34.486,80.039,diego pavia,New Mexico State
2023,5084180,Diego Pavia,QB,New Mexico State,CUSA,0.377,0.374,0.384,0.242,0.38,0.571,0.287,0.538,201.517,141.541,59.976,51.38,69.571,73.659,97.716,103.801,diego pavia,New Mexico State
2024,5084180,Diego Pavia,QB,Vanderbilt,SEC,0.3,0.332,0.241,0.141,0.207,0.665,0.182,0.464,145.835,104.382,41.453,26.176,32.766,87.787,51.621,94.214,diego pavia,Vanderbilt
2025,5084180,Diego Pavia,QB,Vanderbilt,SEC,0.483,0.517,0.394,0.325,0.602,0.644,0.34,0.802,244.112,190.195,53.917,77.451,98.804,58.573,118.199,125.913,diego pavia,Vanderbilt
2024,4913758,Dijon Jennings,QB,Weber State,,-0.318,0.281,-0.518,-0.144,-0.669,0.038,-0.318,-0.319,-2.545,0.561,-3.106,-0.577,-2.006,0.038,-1.588,-0.957,dijon jennings,Weber State
2025,4913758,Dijon Jennings,QB,Weber State,,0.05,0.12,-0.268,-0.277,-0.045,0.619,-0.188,0.426,7.595,15.538,-5.895,-14.944,-2.381,25.998,-17.514,25.109,dijon jennings,Weber State
2014,535022,Dillon Buechel,QB,Duquesne,,0.335,0.341,0.074,-0.308,0.445,0.656,0.257,0.394,14.069,13.996,0.074,-3.999,7.127,7.214,4.62,9.449,dillon buechel,Duquesne
2019,4427238,Dillon Gabriel,QB,UCF,AAC,0.392,0.391,0.401,0.267,0.271,0.723,0.366,0.43,182.991,162.948,20.043,53.91,37.333,81.672,102.122,80.868,dillon gabriel,UCF
2020,4427238,Dillon Gabriel,QB,UCF,AAC,0.443,0.461,0.294,0.171,0.593,0.808,0.274,0.695,208.211,193.199,15.012,33.485,87.757,89.663,76.89,131.321,dillon gabriel,UCF
2021,4427238,Dillon Gabriel,QB,UCF,AAC,0.279,0.213,0.654,-0.369,0.698,0.542,-0.014,0.762,35.421,22.987,12.435,-18.431,30.713,15.728,-1.139,36.56,dillon gabriel,UCF
2022,4427238,Dillon Gabriel,QB,Oklahoma,B12,0.307,0.341,0.1,0.244,0.367,0.52,0.28,0.357,121.824,116.222,5.603,45.844,40.328,46.796,72.235,49.589,dillon gabriel,Oklahoma
2023,4427238,Dillon Gabriel,QB,Oklahoma,B12,0.651,0.675,0.536,0.446,0.687,0.95,0.518,0.899,279.799,240.144,39.655,86.122,87.294,92.166,145.014,134.785,dillon gabriel,Oklahoma
2024,4427238,Dillon Gabriel,QB,Oregon,B1G,0.429,0.449,0.274,0.133,0.502,0.764,0.22,0.768,215.726,200.087,15.639,26.411,79.369,102.388,68.344,147.382,dillon gabriel,Oregon
2020,4612344,Dillon Markiewicz,QB,Syracuse,ACC,-0.703,-0.703,,-0.703,,,-0.703,,-0.703,-0.703,0.0,-0.703,0.0,0.0,-0.703,0.0,dillon markiewicz,Syracuse
2016,4047852,Dillon Sterling-Cole,QB,Arizona State,PAC,0.049,0.009,0.326,0.34,-0.152,0.097,0.068,0.031,3.453,0.52,2.933,7.133,-3.952,2.139,2.368,1.085,dillon sterling cole,Arizona State
2018,4047852,Dillon Sterling-Cole,QB,Arizona State,PAC,0.228,-0.299,0.755,,-0.408,-0.351,0.755,-0.299,0.914,-0.597,1.511,0.0,-0.408,-0.703,1.511,-0.597,dillon sterling cole,Arizona State
2021,4890420,Dino Maldonado,QB,New Mexico State,Ind,0.395,0.388,0.45,0.446,0.264,0.582,0.474,0.299,28.857,24.804,4.053,14.265,5.801,10.467,18.976,9.881,dino maldonado,New Mexico State
2023,4890420,Dino Maldonado,QB,Mississippi Valley State,,0.305,0.631,-1.975,-0.186,-0.109,1.02,-0.574,1.184,2.44,4.415,-1.975,-0.186,-0.435,3.061,-2.296,4.736,dino maldonado,Mississippi Valley State
2019,4578170,Doc Bonner,QB,Morgan State,,-1.047,-1.047,,,,-1.047,-1.047,,-1.047,-1.047,0.0,0.0,0.0,-1.047,-1.047,0.0,doc bonner,Morgan State
2025,5165884,Dom Nankil,QB,San Diego,,0.271,0.284,0.225,0.027,0.238,0.427,0.137,0.405,71.541,64.134,8.313,2.17,20.901,38.453,18.035,53.506,dom nankil,San Diego
2025,5299278,Dominic Campanile,QB,Holy Cross,,0.057,0.051,0.164,-0.02,-0.103,0.339,-0.149,0.222,6.265,4.747,2.622,-0.514,-3.701,14.919,-7.288,13.553,dominic campanile,Holy Cross
2023,5163532,Dominiq Ponder,QB,Bethune-Cookman,,-0.048,-0.048,,-0.468,-0.82,1.142,-0.529,0.432,-0.29,-0.29,0.0,-0.936,-1.64,2.285,-1.587,1.296,dominiq ponder,Bethune-Cookman
2025,5163532,Dominiq Ponder,QB,Colorado,B12,-0.649,-1.087,0.228,,-1.953,-0.222,,-0.649,-1.946,-2.175,0.228,0.0,-1.953,-0.222,0.0,-1.946,dominiq ponder,Colorado
2015,3131803,Dominique Allen,QB,The Citadel,,-0.206,-0.341,-0.158,-0.259,-0.218,-0.02,-0.14,-0.357,-10.115,-4.439,-5.676,-4.666,-2.838,-0.278,-4.762,-5.353,dominique allen,The Citadel
2016,3131803,Dominique Allen,QB,The Citadel,,-0.637,-1.715,0.44,-0.007,0.185,-7.142,-0.206,-1.241,-7.646,-10.289,2.642,-0.034,0.923,-7.142,-1.444,-6.203,dominique allen,The Citadel
2017,3131803,Dominique Allen,QB,The Citadel,,-0.411,-0.155,-0.616,-1.78,-0.384,0.001,-0.785,-0.112,-3.698,-0.62,-3.078,-1.78,-1.922,0.004,-3.14,-0.558,dominique allen,The Citadel
2023,4587700,Dominique Anthony,QB,Morgan State,,0.075,0.148,-0.265,0.054,0.059,0.332,0.147,0.004,5.903,9.607,-3.703,1.395,1.524,7.631,5.732,0.171,dominique anthony,Morgan State
2024,4587700,Dominique Anthony,QB,Morgan State,,0.465,0.295,0.888,0.095,0.083,1.401,0.341,0.774,3.252,1.475,1.777,0.284,0.166,2.802,1.703,1.549,dominique anthony,Morgan State
2018,4250679,Dominique Shoffner,QB,North Carolina Central,,0.43,,0.43,,0.43,,,0.43,0.43,0.0,0.43,0.0,0.43,0.0,0.0,0.43,dominique shoffner,North Carolina Central
2022,4250679,Dominique Shoffner,QB,Eastern Illinois,,0.164,-0.035,0.369,-0.234,0.146,0.665,-0.047,0.401,22.287,-2.441,24.728,-11.238,6.283,25.941,-3.363,25.65,dominique shoffner,Eastern Illinois
2023,4250679,Dominique Shoffner,QB,Charlotte,AAC,0.198,0.1,0.323,-0.318,0.438,0.785,0.01,0.612,3.167,0.903,2.264,-2.228,3.068,0.785,0.109,3.058,dominique shoffner,Charlotte
2014,535337,Don King III,QB,Sam Houston,,-1.013,-1.013,,-1.815,-1.715,0.23,-1.815,-0.691,-7.088,-7.088,0.0,-3.631,-3.431,0.461,-3.631,-3.457,don king,Sam Houston
2017,4250304,Donald Glenn,QB,Wagner,,-1.147,-0.05,-2.243,-2.243,,-0.05,-2.243,-0.05,-2.293,-0.05,-2.243,-2.243,0.0,-0.05,-2.243,-0.05,donald glenn,Wagner
2018,4382332,Donald Hammond III,QB,Air Force,MWC,0.29,0.439,0.159,0.024,0.355,0.86,0.13,0.578,44.637,31.61,13.026,1.188,19.527,31.834,12.858,31.779,donald hammond,Air Force
2019,4382332,Donald Hammond III,QB,Air Force,MWC,0.57,0.665,0.476,0.339,0.683,0.594,0.462,0.768,131.748,76.521,55.227,26.421,55.346,36.243,68.803,62.946,donald hammond,Air Force
2017,480233,Donavan Tate,QB,Arizona,PAC,0.607,0.607,,,0.607,,0.607,,0.607,0.607,0.0,0.0,0.607,0.0,0.607,0.0,donavan tate,Arizona
2015,3122873,Donovan Isom,QB,SE Louisiana,,0.003,0.199,-0.377,-0.269,0.256,0.085,-0.088,0.152,0.167,6.57,-6.403,-5.389,4.36,1.023,-2.721,2.888,donovan isom,SE Louisiana
2024,4790965,Donovan Leary,QB,Illinois,B1G,0.481,0.481,,-1.139,0.434,1.337,-1.139,0.886,2.404,2.404,0.0,-1.139,0.868,2.675,-1.139,3.543,donovan leary,Illinois
2021,4690977,Donovan Smith,QB,Texas Tech,B12,0.303,0.408,-0.007,-0.014,0.465,0.538,0.194,0.464,57.605,57.964,-0.359,-0.944,29.783,26.363,21.894,35.711,donovan smith,Texas Tech
2022,4690977,Donovan Smith,QB,Texas Tech,B12,0.236,0.21,0.335,0.095,0.219,0.453,0.155,0.367,66.533,46.741,19.793,10.691,18.832,28.543,26.892,39.641,donovan smith,Texas Tech
2023,4690977,Donovan Smith,QB,Houston,B12,0.293,0.258,0.435,0.182,0.311,0.569,0.288,0.301,149.095,104.689,44.406,35.145,51.05,73.412,87.288,61.807,donovan smith,Houston
2024,4690977,Donovan Smith,QB,Houston,B12,0.082,-0.009,0.333,0.201,-0.212,0.212,0.148,-0.016,16.023,-1.282,17.304,14.909,-12.944,11.002,17.269,-1.247,donovan smith,Houston
2019,4248340,Dontay Warren,QB,Northern Colorado,,0.122,0.122,,0.066,0.474,-0.364,0.303,-0.168,1.585,1.585,0.0,0.199,2.844,-1.457,2.423,-0.838,dontay warren,Northern Colorado
2014,3125460,Dontreal Pruitt,QB,Troy,SBC,0.087,0.089,0.081,-0.045,-0.063,0.438,-0.021,0.217,9.015,6.992,2.023,-1.66,-2.072,14.014,-1.201,10.216,dontreal pruitt,Troy
2015,3125460,Dontreal Pruitt,QB,Troy,SBC,0.023,-0.067,0.134,0.014,-0.126,0.051,0.029,0.015,1.548,-2.468,4.016,0.392,-2.782,0.821,1.103,0.445,dontreal pruitt,Troy
2015,537658,Dontrinell Scott,QB,Mississippi Valley State,,0.593,0.685,0.273,0.137,-0.143,0.474,-0.18,0.98,5.341,4.796,0.545,0.274,-0.143,2.371,-0.539,5.88,dontrinell scott,Mississippi Valley State
2022,4876310,Dorian Hale,QB,Sacramento State,,0.679,,0.679,0.786,-0.437,2.587,0.679,,4.072,0.0,4.072,2.359,-0.873,2.587,4.072,0.0,dorian hale,Sacramento State
2018,4367178,Dorian Thompson-Robinson,QB,UCLA,PAC,0.205,0.201,0.23,0.177,0.081,0.278,0.194,0.222,41.454,34.325,7.129,13.615,4.864,16.103,23.432,18.022,dorian thompson robinson,UCLA
2019,4367178,Dorian Thompson-Robinson,QB,UCLA,PAC,0.244,0.221,0.349,0.063,0.125,0.733,0.079,0.488,116.569,86.21,30.359,12.99,17.401,87.956,22.416,94.153,dorian thompson robinson,UCLA
2020,4367178,Dorian Thompson-Robinson,QB,UCLA,PAC,0.481,0.447,0.586,0.234,0.422,0.987,0.339,0.718,92.366,64.84,27.526,21.089,21.919,47.375,40.644,51.722,dorian thompson robinson,UCLA
2021,4367178,Dorian Thompson-Robinson,QB,UCLA,PAC,0.469,0.441,0.543,0.333,0.522,0.608,0.352,0.713,189.656,129.335,60.321,60.242,54.25,65.019,96.191,93.465,dorian thompson robinson,UCLA
2022,4367178,Dorian Thompson-Robinson,QB,UCLA,PAC,0.426,0.384,0.593,0.366,0.308,0.772,0.356,0.567,211.828,151.899,59.929,80.468,44.406,89.574,118.212,93.616,dorian thompson robinson,UCLA
2020,4429516,Doug Brumfield,QB,UNLV,MWC,0.029,-0.068,0.271,-0.022,0.132,0.096,-0.044,0.105,1.003,-1.709,2.713,-0.287,1.455,0.964,-0.784,1.787,doug brumfield,UNLV
2021,4429516,Doug Brumfield,QB,UNLV,MWC,0.394,0.351,0.615,0.634,-0.557,0.866,0.555,0.196,19.298,14.377,4.921,12.688,-7.244,13.854,14.99,4.308,doug brumfield,UNLV
2022,4429516,Doug Brumfield,QB,UNLV,MWC,0.315,0.315,0.314,0.212,0.36,0.511,0.335,0.283,90.72,71.867,18.853,23.942,35.658,34.77,59.001,31.719,doug brumfield,UNLV
2023,4429516,Doug Brumfield,QB,UNLV,MWC,0.014,0.046,-0.121,0.209,-0.318,0.442,0.074,-0.045,0.926,2.377,-1.451,5.233,-5.409,7.961,2.379,-1.453,doug brumfield,UNLV
2024,5144959,Drake Lindsey,QB,Minnesota,B1G,1.122,1.306,0.198,1.233,0.421,2.189,1.364,0.637,6.73,6.532,0.198,3.7,0.841,2.189,5.456,1.274,drake lindsey,Minnesota
2025,5144959,Drake Lindsey,QB,Minnesota,B1G,0.185,0.194,-0.073,0.075,0.111,0.448,0.121,0.282,66.401,67.207,-0.806,11.495,12.213,41.248,26.029,40.371,drake lindsey,Minnesota
2021,4431452,Drake Maye,QB,North Carolina,ACC,0.217,-0.051,0.862,0.373,0.266,1.234,-0.011,0.766,3.697,-0.616,4.312,2.613,1.595,3.702,-0.131,3.828,drake maye,North Carolina
2022,4431452,Drake Maye,QB,North Carolina,ACC,0.396,0.403,0.37,0.234,0.333,0.705,0.299,0.54,278.162,222.994,55.168,63.347,76.295,122.021,124.902,153.26,drake maye,North Carolina
2023,4431452,Drake Maye,QB,North Carolina,ACC,0.42,0.378,0.657,0.2,0.455,0.725,0.35,0.531,217.392,166.141,51.251,41.112,83.287,84.863,110.597,106.795,drake maye,North Carolina
2022,4688717,Draylen Ellis,QB,Tennessee State,,0.302,0.314,0.257,-0.108,0.255,0.813,0.086,0.589,65.482,53.421,12.061,-8.757,17.088,53.657,10.713,54.769,draylen ellis,Tennessee State
2023,4688717,Draylen Ellis,QB,Tennessee State,,0.324,0.313,0.355,0.426,0.16,0.318,0.408,0.218,70.286,50.747,19.54,33.232,11.348,20.993,49.319,20.967,draylen ellis,Tennessee State
2024,4688717,Draylen Ellis,QB,Tennessee State,,0.413,0.439,0.215,0.324,0.332,0.647,0.364,0.481,170.669,160.355,10.314,53.84,44.846,67.241,86.962,83.707,draylen ellis,Tennessee State
2018,4037420,Drayton Arnold,QB,Old Dominion,CUSA,-0.1,0.178,-0.656,-0.656,1.139,-0.783,-0.1,,-0.3,0.356,-0.656,-0.656,1.139,-0.783,-0.3,0.0,drayton arnold,Old Dominion
2019,4037420,Drayton Arnold,QB,Chattanooga,,-0.18,-0.41,0.967,0.009,-0.404,0.867,0.312,-0.673,-2.163,-4.096,1.933,0.019,-2.426,2.6,1.874,-4.037,drayton arnold,Chattanooga
2020,4037420,Drayton Arnold,QB,Chattanooga,,0.012,-0.197,0.486,-0.514,-0.076,0.522,-0.432,0.408,0.421,-4.924,5.345,-4.113,-0.841,6.783,-7.339,7.76,drayton arnold,Chattanooga
2018,4250970,Dresser Winn,QB,UT Martin,,0.018,0.096,-0.572,-0.116,-0.234,0.896,-0.088,0.204,1.679,7.975,-6.296,-4.539,-6.781,21.497,-5.27,6.949,dresser winn,UT Martin
2019,4250970,Dresser Winn,QB,UT Martin,,0.095,0.341,-0.889,0.31,0.423,-0.967,0.208,-0.167,0.952,2.731,-1.778,1.552,1.27,-0.967,1.453,-0.501,dresser winn,UT Martin
2022,4250970,Dresser Winn,QB,UT Martin,,0.3,0.301,0.277,0.28,0.364,0.3,0.303,0.295,103.246,98.26,4.986,41.723,38.21,24.34,65.494,37.752,dresser winn,UT Martin
2022,4714771,Drew Allar,QB,Penn State,B1G,0.246,0.184,0.515,0.034,0.294,0.291,0.208,0.292,19.676,11.958,7.718,0.653,9.991,5.815,9.15,10.526,andrew allar,Penn State
2023,4714771,Drew Allar,QB,Penn State,B1G,0.37,0.323,0.697,0.21,0.248,0.545,0.32,0.45,168.228,128.512,39.717,33.117,38.613,66.503,90.378,77.85,andrew allar,Penn State
2024,4714771,Drew Allar,QB,Penn State,B1G,0.392,0.378,0.466,0.257,0.418,0.567,0.283,0.581,191.421,155.051,36.37,49.832,65.261,68.642,87.373,104.048,andrew allar,Penn State
2025,4714771,Drew Allar,QB,Penn State,B1G,0.248,0.189,0.52,0.056,0.31,0.584,0.119,0.48,51.358,32.126,19.231,5.016,17.664,30.971,15.862,35.495,andrew allar,Penn State
2016,4040826,Drew Anderson,QB,Buffalo,MAC,-0.062,-0.062,,,,-0.062,,-0.062,-0.062,-0.062,0.0,0.0,0.0,-0.062,0.0,-0.062,andrew anderson,Buffalo
2017,4040826,Drew Anderson,QB,Buffalo,MAC,0.53,0.557,0.252,0.284,0.987,0.589,0.468,0.634,60.962,58.446,2.516,15.353,33.568,15.324,33.699,27.263,andrew anderson,Buffalo
2018,4040826,Drew Anderson,QB,Murray State,,-0.157,-0.159,-0.114,-0.552,-0.123,0.555,-0.163,-0.152,-5.189,-5.075,-0.114,-5.515,-1.228,6.11,-2.602,-2.587,andrew anderson,Murray State
2015,559621,Drew Barker,QB,Kentucky,SEC,0.037,0.015,0.118,-0.147,-0.324,0.506,-0.092,0.148,3.481,1.126,2.356,-4.396,-10.041,16.178,-4.049,7.53,andrew barker,Kentucky
2016,559621,Drew Barker,QB,Kentucky,SEC,0.043,0.021,0.199,0.148,-0.012,-0.023,0.306,-0.19,2.111,0.916,1.195,2.659,-0.176,-0.372,7.049,-4.938,andrew barker,Kentucky
2017,559621,Drew Barker,QB,Kentucky,SEC,-0.286,-0.103,-2.3,-1.125,-0.167,0.488,-1.418,0.28,-3.435,-1.135,-2.3,-3.374,-0.67,1.952,-5.673,2.238,andrew barker,Kentucky
2014,3120540,Drew Belcher,QB,Maine,,-0.13,-0.335,0.156,-0.435,0.53,-0.486,-0.086,-0.193,-1.563,-2.343,0.78,-1.741,2.121,-1.943,-0.599,-0.964,andrew belcher,Maine
2015,3120540,Drew Belcher,QB,Maine,,-0.059,0.045,-0.284,-0.065,0.049,0.165,-0.31,0.371,-1.117,0.589,-1.706,-0.387,0.247,0.827,-3.714,2.597,andrew belcher,Maine
2017,3120540,Drew Belcher,QB,Maine,,0.935,0.935,,0.267,3.672,-1.134,0.935,,2.804,2.804,0.0,0.267,3.672,-1.134,2.804,0.0,andrew belcher,Maine
2018,3120540,Drew Belcher,QB,Maine,,0.327,0.327,,1.55,-0.887,0.582,1.224,-0.867,2.292,2.292,0.0,3.099,-1.773,1.165,4.894,-2.602,andrew belcher,Maine
2021,4600603,Drew Carter,QB,Colorado,PAC,-0.18,-0.198,-0.068,-0.232,0.049,-0.32,0.056,-0.387,-2.705,-2.568,-0.136,-0.929,0.295,-1.28,0.391,-3.095,andrew carter,Colorado
2022,4600603,Drew Carter,QB,Colorado,PAC,-0.342,-1.116,0.587,0.183,-0.837,-0.206,0.604,-1.477,-3.763,-6.697,2.935,0.734,-2.512,-0.411,3.623,-7.386,andrew carter,Colorado
2024,5219898,Drew Devillier,QB,Rice,AAC,-0.108,-0.148,0.083,-0.128,-0.538,0.141,-0.243,0.032,-5.094,-5.756,0.662,-2.175,-5.921,2.394,-5.841,0.747,andrew devillier,Rice
2025,5219898,Drew Devillier,QB,Rice,AAC,-0.112,-0.187,0.083,-0.58,0.632,-0.341,-0.506,0.255,-3.259,-3.919,0.66,-5.217,7.582,-2.045,-7.085,3.826,andrew devillier,Rice
2025,4713649,Drew Dickey,QB,Vanderbilt,SEC,0.648,0.976,0.429,-0.401,0.607,2.83,0.557,0.785,3.241,1.952,1.288,-0.803,1.213,2.83,1.671,1.57,andrew dickey,Vanderbilt
2015,3124782,Drew Eckels,QB,Western Kentucky,CUSA,-0.241,-0.305,-0.114,-0.114,-0.981,0.372,-0.548,0.372,-0.724,-0.609,-0.114,-0.114,-0.981,0.372,-1.096,0.372,andrew eckels,Western Kentucky
2016,3124782,Drew Eckels,QB,Western Kentucky,CUSA,0.153,0.199,-0.483,-0.471,0.812,0.38,0.211,0.132,2.3,2.783,-0.483,-0.471,4.058,2.663,0.845,1.455,andrew eckels,Western Kentucky
2017,3124782,Drew Eckels,QB,Western Kentucky,CUSA,-0.313,-0.38,-0.239,-0.26,-0.154,-0.134,0.05,-1.141,-7.192,-4.559,-2.633,-2.859,-1.075,-0.538,0.794,-7.985,andrew eckels,Western Kentucky
2018,3124782,Drew Eckels,QB,Western Kentucky,CUSA,0.126,0.131,0.099,0.198,0.32,0.032,0.176,0.073,15.296,13.717,1.579,8.5,13.129,1.09,11.065,4.231,andrew eckels,Western Kentucky
2022,4695299,Drew Guttieri,QB,Stony Brook,,-0.373,-0.433,-0.073,-0.703,-0.388,-0.254,-0.57,-0.275,-2.24,-2.167,-0.073,-0.703,-0.776,-0.761,-1.141,-1.099,andrew guttieri,Stony Brook
2014,532480,Drew Hare,QB,Northern Illinois,MAC,0.348,0.327,0.395,0.226,0.105,0.817,0.183,0.641,168.942,109.626,59.317,42.484,17.707,102.99,56.782,112.16,andrew hare,Northern Illinois
2015,532480,Drew Hare,QB,Northern Illinois,MAC,0.241,0.31,0.042,0.069,0.217,0.539,0.164,0.365,86.707,82.776,3.931,8.701,27.165,53.383,36.374,50.333,andrew hare,Northern Illinois
2016,532480,Drew Hare,QB,Northern Illinois,MAC,0.152,0.32,-0.646,0.073,0.234,0.048,-0.051,0.426,11.434,19.829,-8.395,1.909,6.074,1.013,-2.19,13.624,andrew hare,Northern Illinois
2019,4260936,Drew Keszei,QB,Ohio,MAC,0.738,2.031,-0.555,,-0.555,2.031,,0.738,1.476,2.031,-0.555,0.0,-0.555,2.031,0.0,1.476,andrew keszei,Ohio
2014,514286,Drew Kummer,QB,Miami (OH),MAC,-0.105,-0.077,-0.249,-0.259,-0.637,1.599,-0.543,0.507,-1.265,-0.767,-0.498,-1.036,-2.549,4.796,-3.801,2.536,andrew kummer,Miami (OH)
2015,514286,Drew Kummer,QB,Miami (OH),MAC,0.19,0.241,-0.118,0.164,-0.082,0.384,0.124,0.258,28.155,30.63,-2.475,8.373,-3.853,16.911,9.306,18.848,andrew kummer,Miami (OH)
2018,4048096,Drew Lisk,QB,Utah,PAC,-1.247,,-1.247,,-1.247,,,-1.247,-1.247,0.0,-1.247,0.0,-1.247,0.0,0.0,-1.247,andrew lisk,Utah
2019,4048096,Drew Lisk,QB,Utah,PAC,0.463,0.448,0.502,0.026,0.369,0.656,0.434,0.498,5.094,3.586,1.507,0.051,1.108,3.934,2.605,2.488,andrew lisk,Utah
2020,4048096,Drew Lisk,QB,Utah,PAC,0.095,0.09,0.232,-0.055,0.048,0.5,-0.079,0.284,2.578,2.345,0.232,-0.549,0.386,3.997,-1.113,3.69,andrew lisk,Utah
2015,3924327,Drew Lock,QB,Missouri,SEC,-0.001,-0.045,0.449,-0.102,0.081,0.116,0.032,-0.036,-0.329,-12.906,12.577,-11.046,8.264,10.511,5.117,-5.446,andrew lock,Missouri
2016,3924327,Drew Lock,QB,Missouri,SEC,0.215,0.23,0.066,0.177,0.154,0.354,0.248,0.168,104.482,101.452,3.03,37.587,21.042,45.256,70.111,34.37,andrew lock,Missouri
2017,3924327,Drew Lock,QB,Missouri,SEC,0.456,0.482,0.128,0.428,0.22,0.873,0.389,0.575,210.578,206.209,4.369,91.545,30.334,94.291,115.105,95.473,andrew lock,Missouri
2018,3924327,Drew Lock,QB,Missouri,SEC,0.397,0.42,0.179,0.207,0.406,0.64,0.252,0.634,194.402,185.795,8.607,38.629,61.345,90.844,76.529,117.873,andrew lock,Missouri
2024,5219834,Drew Mestemaker,QB,North Texas,AAC,0.452,0.278,1.306,0.071,-0.079,1.97,0.138,0.88,26.687,13.625,13.062,1.482,-1.659,29.545,4.696,21.991,andrew mestemaker,North Texas
2025,5219834,Drew Mestemaker,QB,North Texas,AAC,0.366,0.374,0.403,0.215,0.38,0.602,0.268,0.581,161.678,151.349,14.506,40.492,55.81,54.192,81.433,80.245,andrew mestemaker,North Texas
2022,5090101,Drew Person,QB,Long Island University,,-0.452,,-0.452,-0.452,,,-0.452,,-0.452,0.0,-0.452,-0.452,0.0,0.0,-0.452,0.0,andrew person,Long Island University
2017,4039210,Drew Plitt,QB,Ball State,MAC,-0.019,-0.133,0.404,-0.092,-0.553,0.318,-0.027,-0.01,-2.238,-12.348,10.11,-3.49,-18.246,13.364,-1.69,-0.549,andrew plitt,Ball State
2018,4039210,Drew Plitt,QB,Ball State,MAC,0.179,0.161,0.269,0.062,0.032,0.553,0.001,0.543,30.01,22.752,7.258,4.4,1.544,22.669,0.122,29.887,andrew plitt,Ball State
2019,4039210,Drew Plitt,QB,Ball State,MAC,0.3,0.312,0.236,0.081,0.41,0.51,0.175,0.492,138.432,122.14,16.292,13.844,58.575,66.784,48.861,89.571,andrew plitt,Ball State
2020,4039210,Drew Plitt,QB,Ball State,MAC,0.363,0.368,0.366,0.1,0.235,0.859,0.199,0.666,117.404,99.801,18.671,11.149,26.536,75.606,41.514,75.89,andrew plitt,Ball State
2021,4039210,Drew Plitt,QB,Ball State,MAC,0.241,0.194,0.582,0.06,0.147,0.53,0.214,0.276,101.246,71.569,29.676,8.972,19.209,67.899,50.722,50.523,andrew plitt,Ball State
2020,4429088,Drew Pyne,QB,Notre Dame,Ind,-0.061,-0.033,-0.144,,0.068,-0.104,,-0.061,-0.244,-0.1,-0.144,0.0,0.068,-0.312,0.0,-0.244,andrew pyne,Notre Dame
2021,4429088,Drew Pyne,QB,Notre Dame,Ind,0.183,0.198,0.07,-0.34,0.405,0.641,-0.139,0.472,6.603,6.323,0.281,-4.077,4.863,5.768,-2.36,8.963,andrew pyne,Notre Dame
2022,4429088,Drew Pyne,QB,Notre Dame,Ind,0.337,0.35,0.233,0.147,0.423,0.591,0.22,0.561,99.547,92.079,7.467,17.882,35.084,50.833,42.371,57.175,andrew pyne,Notre Dame
2023,4429088,Drew Pyne,QB,Arizona State,PAC,-0.059,-0.014,-0.466,-0.233,-0.189,0.109,-0.23,0.164,-3.55,-0.753,-2.797,-6.295,-3.026,1.421,-7.823,4.274,andrew pyne,Arizona State
2024,4429088,Drew Pyne,QB,Missouri,SEC,-0.053,-0.04,-0.15,-0.154,-0.166,0.173,-0.165,0.085,-4.983,-3.33,-1.653,-5.852,-4.316,5.185,-8.564,3.581,andrew pyne,Missouri
2025,4429088,Drew Pyne,QB,Bowling Green,MAC,0.021,-0.038,0.726,-0.431,-0.034,0.487,-0.179,0.245,3.826,-6.344,10.17,-24.152,-2.097,28.237,-16.972,20.798,andrew pyne,Bowling Green
2016,547910,Drew Reed,QB,Lafayette,,0.057,-0.006,2.439,-0.544,0.524,0.404,-0.025,0.144,2.226,-0.212,2.439,-7.078,7.335,4.442,-0.503,2.729,andrew reed,Lafayette
2025,5156751,Drew VanVleet,QB,Dayton,,0.038,0.121,-0.355,-0.224,-0.196,0.496,-0.19,0.244,2.918,8.568,-1.066,-5.813,-4.504,11.417,-6.85,9.769,andrew vanvleet,Dayton
2021,4875895,Drew Zaubi,QB,Western Kentucky,CUSA,0.421,0.683,-0.626,-0.549,-0.626,1.915,-0.575,1.915,2.104,2.731,-0.626,-1.098,-0.626,3.829,-1.725,3.829,andrew zaubi,Western Kentucky
2014,514894,Driphus Jackson,QB,Rice,CUSA,0.354,0.403,0.175,0.154,0.309,0.7,0.207,0.501,157.973,141.363,16.61,21.491,51.965,92.456,46.181,111.792,driphus jackson,Rice
2015,514894,Driphus Jackson,QB,Rice,CUSA,0.258,0.27,0.2,-0.062,0.23,0.671,0.135,0.382,100.479,86.452,14.028,-7.425,35.657,75.195,26.375,74.105,driphus jackson,Rice
2016,4038224,Dru Brown,QB,Hawai'i,MWC,0.247,0.244,0.262,0.196,0.161,0.331,0.301,0.165,100.91,82.046,18.864,30.787,20.879,36.067,74.588,26.322,dru brown,Hawaii
