rank,player,position,posg,college,team,round,pick,age,draft_prior,football_score,profile_lift,pre_draft_prob_v6,early_evidence_prob,early_evidence_weight,success_prob_v6,model_confidence,feature_completeness,football_features_used_count,duplicate_count,data_flags,top_features_used,pre_draft_prob,success_prob,ras_score,pffx_yprr,pffx_g_off
23,Josh Conerly,OL,OL,Oregon,WAS,1.0,29.0,21.0,0.435,0.053,0.021,0.456,,0,0.456,0.95,0.5,27,1,,ras_score|pffx_g_off|pff_offense_blocking_block_percent|pff_offense_blocking_declined_penalties|pff_offense_blocking_grades_offense|pff_offense_blocking_grades_pass_block|pff_offense_blocking_grades_run_block|pff_offense_blocking_hits_allowed|pff_offense_blocking_hurries_allowed|pff_offense_blocking_non_spike_pass_block|pff_offense_blocking_non_spike_pass_block_percentage|pff_offense_blocking_pass_block_percent|pff_offense_blocking_pbe|pff_offense_blocking_penalties|pff_offense_blocking_pressures_allowed|pff_offense_blocking_sacks_allowed|pff_offense_blocking_snap_counts_block|pff_offense_blocking_snap_counts_ce|pff_offense_blocking_snap_counts_lg|pff_offense_blocking_snap_counts_lt|pff_offense_blocking_snap_counts_offense|pff_offense_blocking_snap_counts_pass_block|pff_offense_blocking_snap_counts_pass_play|pff_offense_blocking_snap_counts_rg|pff_offense_blocking_snap_counts_rt|pff_offense_blocking_snap_counts_run_block|pff_offense_blocking_snap_counts_te|age,0.503,0.603,8.85,,68.8
24,Grey Zabel,OT,OL,North Dakota St.,SEA,1.0,18.0,23.0,0.435,0.191,0.017,0.452,,0,0.452,0.352,0.019,1,1,too_few_football_features;low_position_feature_completeness,ras_score|age,0.61,0.673,9.9,,
25,Jihaad Campbell,LB,LB,Alabama,PHI,1.0,31.0,21.0,0.415,0.374,0.034,0.449,,0,0.449,0.85,0.333,1,1,too_few_football_features,ras_score|age,0.564,0.643,9.88,,
26,Maxwell Hairston,CB,DB,Kentucky,BUF,1.0,30.0,22.0,0.42,0.23,0.021,0.441,,0,0.441,0.85,0.333,1,1,too_few_football_features,ras_score|age,0.466,0.335,9.63,,
27,Josh Simmons,OL,OL,Ohio St.,KAN,1.0,32.0,22.0,0.435,-0.01,-0.004,0.431,,0,0.431,0.95,0.5,27,1,,ras_score|pffx_g_off|pff_offense_blocking_block_percent|pff_offense_blocking_declined_penalties|pff_offense_blocking_grades_offense|pff_offense_blocking_grades_pass_block|pff_offense_blocking_grades_run_block|pff_offense_blocking_hits_allowed|pff_offense_blocking_hurries_allowed|pff_offense_blocking_non_spike_pass_block|pff_offense_blocking_non_spike_pass_block_percentage|pff_offense_blocking_pass_block_percent|pff_offense_blocking_pbe|pff_offense_blocking_penalties|pff_offense_blocking_pressures_allowed|pff_offense_blocking_sacks_allowed|pff_offense_blocking_snap_counts_block|pff_offense_blocking_snap_counts_ce|pff_offense_blocking_snap_counts_lg|pff_offense_blocking_snap_counts_lt|pff_offense_blocking_snap_counts_offense|pff_offense_blocking_snap_counts_pass_block|pff_offense_blocking_snap_counts_pass_play|pff_offense_blocking_snap_counts_rg|pff_offense_blocking_snap_counts_rt|pff_offense_blocking_snap_counts_run_block|pff_offense_blocking_snap_counts_te|age,0.377,0.277,0.59,,67.5
28,Tyleik Williams,DT,DL,Ohio St.,DET,1.0,28.0,22.0,0.425,0.057,0.005,0.43,,0,0.43,0.28,0,0,1,missing_ras;too_few_football_features;low_position_feature_completeness,age,0.349,0.504,,,
29,Derrick Harmon,DT,DL,Oregon,PIT,1.0,21.0,22.0,0.425,-0.015,-0.001,0.424,,0,0.424,0.815,0.333,1,1,missing_ras;too_few_football_features,pffx_g_off|age,0.298,0.47,,,60.0
30,Omarion Hampton,RB,RB,North Carolina,LAC,1.0,22.0,22.0,0.405,0.037,0.015,0.42,,0,0.42,0.95,0.807,555,1,,ras_score|pffx_yprr|pffx_g_off|pff_receiving_concept_base_targets|pff_receiving_concept_declined_penalties|pff_receiving_concept_penalties|pff_receiving_concept_screen_avg_depth_of_target|pff_receiving_concept_screen_avoided_tackles|pff_receiving_concept_screen_caught_percent|pff_receiving_concept_screen_contested_catch_rate|pff_receiving_concept_screen_contested_receptions|pff_receiving_concept_screen_contested_targets|pff_receiving_concept_screen_drop_rate|pff_receiving_concept_screen_drops|pff_receiving_concept_screen_epa|pff_receiving_concept_screen_first_downs|pff_receiving_concept_screen_fumbles|pff_receiving_concept_screen_grades_hands_drop|pff_receiving_concept_screen_grades_pass_route|pff_receiving_concept_screen_interceptions|pff_receiving_concept_screen_longest|pff_receiving_concept_screen_pass_block_rate|pff_receiving_concept_screen_pass_blocks|pff_receiving_concept_screen_pass_plays|pff_receiving_concept_screen_positive_epa_percent|pff_receiving_concept_screen_receptions|pff_receiving_concept_screen_route_rate|pff_receiving_concept_screen_routes|pff_receiving_concept_screen_targeted_qb_rating|pff_receiving_concept_screen_targets|pff_receiving_concept_screen_targets_percent|pff_receiving_concept_screen_touchdowns|pff_receiving_concept_screen_yards|pff_receiving_concept_screen_yards_after_catch|pff_receiving_concept_screen_yards_after_catch_per_reception,0.304,0.474,9.7,9.78,88.7
31,Jahdae Barron,CB,DB,Texas,DEN,1.0,20.0,23.0,0.42,-0.006,-0.001,0.419,,0,0.419,0.85,0.333,1,1,too_few_football_features,ras_score|age,0.384,0.281,8.64,,
32,Malaki Starks,SAF,DB,Georgia,BAL,1.0,27.0,21.0,0.42,-0.085,-0.008,0.412,,0,0.412,0.85,0.333,1,1,too_few_football_features,ras_score|age,0.482,0.59,5.3,,
