player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_epa,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_snap,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_positive_epa_percent,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_epa,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_snap,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_positive_epa_percent,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Will Rogers,124184,QB,MISS STATE,9,2.62,2.5,3.39,5.2,377,227,80.6,186,190,4.3,1.75,4,4,2.1,76.3,145,20,3.3,191,50.7,5,-0.01,54,,,,,74.5,69.4,81.3,,68.5,,,,,,,0,1,195,51.3,5.0,101.3,0.5,1,0,0,0,8,6,3.1,1083,5.7,75.9,137,157,8.4,3.5,4,7,4.2,60.5,95,70,8.7,186,49.3,9,-0.17,49,,,,,61.9,60.4,81.3,,57.6,,,70.4,,,,1,6,196,36.0,27.1,66.7,10.2,19,10,0,15,3,9,4.6,896,5.7
Eric Schmid,66632,QB,SM HOUSTON,10,2.65,2.43,3.41,4.83,371,281,77.5,187,196,6.3,1.83,3,9,4.5,69.9,137,30,5.5,199,53.6,8,0.26,73,,,,,62.7,80.1,81.5,,78.7,,,,,,,3,3,202,54.8,10.0,113.8,1.5,3,0,0,3,14,6,3.0,1693,8.6,55.0,120,129,15.4,3.62,1,12,8.9,44.2,57,69,13.6,171,46.1,9,-0.01,49,,,,,47.7,59.8,81.0,,60.0,,,58.4,,,,3,6,180,37.4,21.7,71.0,8.8,15,27,0,5,6,10,5.6,1115,8.6
Spencer Rattler,97408,QB,OKLAHOMA,11,3.13,2.84,3.9,5.47,369,261,87.0,131,135,3.6,1.91,3,3,2.2,78.5,106,16,7.0,138,37.4,8,0.33,57,,,,,73.1,91.3,79.7,,90.8,,,,,,,1,2,139,58.0,18.8,112.0,2.2,3,0,0,0,7,1,0.7,1109,8.2,71.6,169,180,15.4,3.85,0,29,14.4,60.0,108,96,10.7,231,62.6,13,0.26,91,,,,,34.3,91.8,82.7,,91.6,,,66.4,,,,1,5,257,48.9,21.9,123.9,9.1,21,30,0,10,21,11,4.3,1922,10.7
Zach Wilson,82096,QB,BYU,12,2.83,2.71,3.55,4.99,363,128,87.5,160,161,5.9,1.79,1,6,3.5,82.6,133,19,5.0,162,44.6,7,0.62,78,,,,,73.9,92.7,80.7,,92.1,,,,,,,0,1,172,67.3,5.3,134.4,0.6,1,0,0,0,15,1,0.6,1516,9.4,73.1,160,174,15.9,3.67,0,25,13.3,64.4,112,60,4.3,200,55.1,5,0.45,91,,,,,49.0,96.2,81.7,,95.6,,,70.7,,,,2,2,214,53.0,16.7,135.6,5.0,10,16,0,12,17,3,1.4,2178,12.5
Trevor Lawrence,77632,QB,CLEMSON,10,2.38,2.3,3.3,3.92,360,140,84.8,211,219,4.0,1.76,4,4,1.8,79.0,173,23,3.4,220,61.1,6,0.42,92,,,,,75.1,78.4,82.0,,77.1,,,,,,,2,3,227,56.4,4.3,115.4,0.5,1,0,0,2,12,3,1.3,1904,8.7,62.3,106,117,19.0,3.36,1,21,16.9,49.6,58,66,12.1,140,38.9,8,0.08,49,,,,,29.3,92.6,80.0,,92.5,,,62.0,,,,4,2,148,41.4,19.7,114.9,9.3,13,10,0,6,12,10,6.8,1249,10.7
Connor Bazelak,99135,QB,MISSOURI,10,2.52,2.42,3.28,4.72,350,229,79.0,181,182,6.0,1.83,0,6,3.2,72.5,132,23,7.7,183,52.3,11,0.18,67,,,,,59.0,78.0,81.2,,76.7,,,,,,,1,2,190,51.4,4.3,91.6,0.5,1,0,0,0,3,3,1.6,1228,6.7,69.2,133,142,12.6,3.3,1,8,5.3,60.6,86,63,6.5,166,47.4,6,-0.05,55,,,,,23.7,70.3,80.8,,73.5,,,45.6,,,,1,4,175,42.2,17.5,83.6,6.6,11,13,0,7,4,9,5.1,1139,8.0
Zac Thomas,39989,QB,APP STATE,12,2.69,2.38,3.84,4.67,349,108,78.4,162,164,6.3,1.73,0,6,3.5,74.4,122,8,3.9,164,47.0,5,0.28,54,,,,,73.9,77.5,80.7,,76.3,,,,,,,0,4,170,56.1,0.0,97.4,0.0,0,0,0,2,8,3,1.8,1072,6.5,62.6,115,128,17.0,3.56,1,7,5.0,50.0,64,69,11.1,184,52.7,8,0.09,63,,,,,62.0,68.5,81.4,,65.2,,,67.8,,,,1,7,198,40.8,31.9,88.4,12.0,22,34,0,11,12,10,5.1,1112,8.7
Breylin Smith,33893,QB,CENT ARK,8,2.82,2.65,3.56,4.78,348,132,68.6,156,163,6.6,1.89,5,9,5.2,61.3,100,32,6.5,167,48.0,7,-0.12,49,,,,,74.1,68.7,80.8,,67.9,,,,,,,0,4,177,40.7,12.5,89.4,2.4,4,0,0,2,12,3,1.7,856,5.3,64.9,134,148,12.8,3.67,1,8,5.2,50.0,74,81,14.9,181,52.0,13,-0.19,49,,,,,61.5,64.4,81.1,,63.6,,,61.6,,,,2,6,188,30.9,17.3,71.0,7.7,14,19,0,11,7,8,4.3,1007,6.8
Asher O'Hara,78529,QB,MIDDLE TN,9,2.66,2.35,4.13,4.31,347,224,83.7,190,192,4.6,1.63,0,8,4.0,78.6,151,23,5.0,192,55.3,8,0.11,57,,,,,74.6,75.2,81.4,,74.0,,,,,,,0,5,201,53.6,0.0,98.5,0.0,0,0,0,2,8,9,4.5,1325,6.9,57.0,79,98,14.2,3.93,1,7,6.3,41.8,41,95,8.9,155,44.7,4,-0.15,41,,,,,60.1,61.9,80.7,,61.8,,,59.9,,,,1,3,171,36.8,24.2,64.8,14.8,23,34,0,17,4,5,2.9,636,6.5
Cole Kelley,39945,QB,SE LA,7,2.63,2.51,3.26,4.56,341,294,78.9,166,170,5.2,1.93,3,3,1.7,73.5,125,37,4.6,173,50.7,6,0.32,74,,,,,44.4,89.0,80.8,,87.3,,,,,,,1,2,176,58.4,8.1,110.7,1.7,3,0,0,0,11,4,2.3,1253,7.4,73.2,127,134,11.9,3.38,0,8,5.7,63.4,85,76,8.6,167,49.0,8,0.26,61,,,,,31.1,81.1,80.8,,81.9,,,56.2,,,,6,2,177,45.5,27.6,109.9,12.6,21,12,0,1,7,5,2.8,1408,10.5
