player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_epa,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_snap,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_positive_epa_percent,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_epa,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_snap,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_positive_epa_percent,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Bryce Young,123943,QB,ALABAMA,7,2.74,2.54,2.67,5.2,31,103,83.3,12,12,8.2,1.92,0,1,8.3,66.7,8,5,20.0,14,45.2,2,-0.05,5,,,,,17.2,57.8,71.2,,57.6,,,,,,,0,0,14,42.9,40.0,92.7,14.3,2,0,0,0,0,1,7.1,101,8.4,87.5,8,10,8.9,3.41,1,0,0.0,50.0,5,9,28.6,17,54.8,2,-0.2,5,,,,,22.4,57.4,71.8,,55.6,,,61.8,,,,0,0,17,35.3,55.6,100.0,29.4,5,2,0,1,1,2,11.8,55,5.5
Davis Brin,77642,QB,TULSA,2,2.74,2.74,2.65,,31,320,80.0,10,11,7.8,2.1,1,1,9.1,63.6,7,3,12.5,12,38.7,1,0.12,3,,,,,65.8,71.5,70.7,,71.1,,,,,,,0,0,12,25.0,33.3,82.4,8.3,1,0,0,0,0,0,0.0,72,6.5,70.6,17,18,18.2,3.14,0,3,16.7,66.7,12,7,0.0,19,61.3,0,0.64,7,,,,,67.1,85.0,72.5,,82.1,,,62.2,,,,1,0,21,52.6,14.3,140.0,5.3,1,0,0,0,2,1,4.8,196,10.9
Tarrin Earle,102345,QB,BUCKNELL,2,2.28,2.29,,3.4,31,125,77.8,18,18,5.7,1.64,0,0,0.0,77.8,14,0,0.0,18,58.1,0,0.26,5,,,,,66.8,76.3,72.0,,75.7,,,,,,,0,0,18,55.6,,110.9,0.0,0,0,0,0,1,0,0.0,111,6.2,66.7,9,10,14.6,3.43,0,1,10.0,50.0,5,7,16.7,12,38.7,1,0.04,3,,,,,65.8,75.2,70.7,,81.9,,,52.9,,,,0,0,12,33.3,0.0,112.5,0.0,0,2,0,1,1,0,0.0,85,8.5
Harold Cook,141434,QB,SHORTER,1,2.14,1.93,3.22,,30,396,89.5,19,19,2.1,1.48,0,0,0.0,84.2,16,1,5.9,20,66.7,1,-0.11,6,,,,,67.0,76.4,72.4,,75.9,,,,,,,0,0,20,50.0,100.0,83.3,5.0,1,0,0,0,0,0,0.0,76,4.0,60.0,5,6,13.4,3.48,0,0,0.0,33.3,2,7,33.3,10,33.3,1,-1.38,1,,,,,7.1,37.9,70.4,,38.1,,,,,,,0,0,11,10.0,57.1,42.4,40.0,4,0,0,1,0,2,18.2,3,0.5
Justin Rogers,77666,QB,UNLV,2,3.06,2.71,3.92,4.2,30,325,80.0,10,10,4.6,1.95,0,0,0.0,70.0,7,1,12.5,10,33.3,1,0.38,3,,,,,65.6,71.6,70.4,,71.2,,,,,,,0,0,11,60.0,0.0,80.8,0.0,0,0,0,0,0,0,0.0,49,4.9,81.8,11,12,13.9,3.62,0,0,0.0,58.3,7,8,22.2,20,66.7,2,-0.01,5,,,,,67.1,68.6,72.4,,69.8,,,59.2,,,,0,0,20,35.0,62.5,117.4,25.0,5,3,0,1,1,0,0.0,112,9.3
Doug Brumfield,128348,QB,UNLV,2,2.85,2.41,3.35,4.65,29,325,72.7,11,13,8.1,1.97,2,1,7.7,46.2,6,2,25.0,14,48.3,2,-0.57,2,,,,,17.9,83.0,71.2,,82.3,,,,,,,0,0,14,35.7,50.0,63.6,7.1,1,0,0,0,0,1,7.1,72,5.5,42.9,7,8,17.9,3.67,0,0,0.0,37.5,3,9,0.0,15,51.7,0,-0.42,4,,,,,66.4,45.7,71.4,,46.2,,,56.1,,,,0,0,15,26.7,33.3,74.5,20.0,3,4,0,1,0,0,0.0,79,9.9
Eric Najarian,101624,QB,MARYLAND,1,2.74,2.6,2.92,5.3,29,215,80.0,10,12,8.0,1.98,1,1,8.3,58.3,7,2,12.5,12,41.4,1,0.3,5,,,,,65.8,70.3,70.7,,69.9,,,,,,,0,0,12,50.0,0.0,84.7,0.0,0,0,0,1,0,0,0.0,98,8.2,60.0,10,11,21.3,3.28,0,1,8.3,45.5,5,8,16.7,17,58.6,1,-0.24,4,,,,,67.0,68.3,72.2,,68.0,,,61.0,,,,0,0,19,29.4,62.5,125.0,29.4,5,1,0,1,2,0,0.0,120,10.9
Gunnar Holmberg,77625,QB,DUKE,6,2.1,2.1,2.17,,28,154,89.5,19,19,5.2,1.77,0,0,0.0,84.2,16,3,5.9,20,71.4,1,0.12,8,,,,,21.2,75.6,72.4,,74.9,,,,,,,0,1,20,65.0,33.3,74.6,5.0,1,0,0,0,0,2,10.0,136,7.2,33.3,6,6,16.2,2.95,0,0,0.0,33.3,2,3,0.0,8,28.6,0,-0.59,1,,,,,65.4,57.8,70.1,,57.7,,,,,,,0,1,10,25.0,66.7,7.6,25.0,2,0,0,0,0,1,10.0,25,4.2
Roshard Branch,139253,QB,ED WATERS,1,3.1,2.61,4.58,5.55,28,372,70.0,10,10,4.3,1.77,0,0,0.0,60.0,6,1,14.3,10,35.7,1,-0.33,3,,,,,65.6,69.0,70.4,,68.6,,,,,,,0,0,11,40.0,0.0,70.0,0.0,0,0,0,0,0,0,0.0,43,4.3,33.3,9,12,17.4,3.84,0,0,0.0,25.0,3,10,0.0,18,64.3,0,-0.63,3,,,,,66.8,32.9,72.0,,30.0,,,61.0,,,,0,0,18,22.2,40.0,42.7,22.2,4,2,0,3,0,1,5.6,45,3.8
Anthony Vespo,134600,QB,MO WE ST,1,2.66,2.53,2.4,4.4,28,995,78.6,14,15,0.3,1.9,1,0,0.0,66.7,10,2,9.1,16,57.1,1,-0.43,4,,,,,66.5,55.6,71.6,,55.4,,,,,,,0,0,16,31.3,50.0,71.3,6.3,1,0,0,0,0,1,6.3,49,3.3,70.0,10,10,10.1,3.67,0,1,9.1,60.0,6,5,14.3,12,42.9,1,0.25,4,,,,,66.0,77.1,71.0,,76.3,,,62.8,,,,0,0,13,58.3,0.0,88.3,0.0,0,2,0,0,0,0,0.0,87,8.7
Malakai Anthony,142524,QB,MERRIMACK,1,2.9,2.46,3.26,4.58,28,385,80.0,10,10,3.4,1.94,0,0,0.0,80.0,8,1,0.0,10,35.7,0,-0.29,3,,,,,65.4,57.5,70.1,,57.3,,,,,,,0,0,10,30.0,0.0,90.4,0.0,0,0,0,0,0,0,0.0,57,5.7,50.0,8,9,7.1,3.44,1,0,0.0,44.4,4,11,0.0,18,64.3,0,-0.81,1,,,,,67.0,35.5,72.2,,39.8,,,49.6,,,,0,0,19,11.1,45.5,91.9,27.8,5,4,0,0,1,0,0.0,34,3.8
Joshua Zamot,78522,QB,STNY BROOK,2,3.23,2.96,3.75,4.97,28,303,77.8,9,10,4.0,2.17,1,0,0.0,70.0,7,0,0.0,10,35.7,0,-0.34,2,,,,,65.4,71.2,70.1,,70.8,,,,,,,0,0,10,30.0,,81.3,0.0,0,0,0,0,0,0,0.0,50,5.0,90.0,10,13,8.2,3.82,0,0,0.0,38.5,5,8,44.4,18,64.3,4,-0.88,4,,,,,66.8,61.7,72.0,,58.3,,,64.3,,,,0,2,18,27.8,25.0,7.1,11.1,2,3,0,3,0,1,5.6,33,2.5
Drew Lisk,40372,QB,UTAH,1,2.74,2.65,,5.0,27,328,80.0,10,10,4.2,2.01,0,1,10.0,80.0,8,3,0.0,10,37.0,0,0.75,5,,,,,65.4,79.5,70.1,,79.0,,,,,,,0,0,10,60.0,0.0,105.0,0.0,0,0,0,0,0,0,0.0,92,9.2,57.1,14,16,6.8,3.17,1,0,0.0,43.8,7,5,12.5,17,63.0,1,-0.48,2,,,,,66.7,57.7,71.8,,59.8,,,57.0,,,,0,0,17,29.4,0.0,54.2,0.0,0,1,0,1,0,0,0.0,60,3.8
Michael Kern,97799,QB,WAKE,4,3.16,3.08,3.5,4.05,27,339,50.0,8,8,4.4,1.88,0,0,0.0,50.0,4,0,0.0,8,29.6,0,-0.12,3,,,,,64.9,65.4,69.5,,65.1,,,,,,,0,0,8,37.5,,75.5,0.0,0,0,0,0,0,0,0.0,61,7.6,57.1,14,16,20.2,3.71,0,2,11.1,50.0,8,4,0.0,19,70.4,0,0.42,6,,,,,24.3,88.3,72.5,,90.7,,,52.9,,,,0,0,21,52.6,25.0,93.8,5.3,1,2,0,2,0,1,4.8,192,12.0
Ian Corwin,109017,QB,DRAKE,3,3.26,2.4,6.08,5.27,27,153,61.5,13,14,8.2,1.83,1,1,6.7,50.0,7,3,12.5,14,51.9,1,0.05,3,,,,,66.4,60.2,71.4,,60.0,,,,,,,0,0,15,50.0,0.0,105.1,0.0,0,0,0,0,2,0,0.0,73,5.2,20.0,5,6,17.8,4.81,0,0,0.0,16.7,1,9,0.0,13,48.1,0,-0.98,4,,,,,20.0,37.6,71.0,,27.8,,,71.9,,,,0,1,13,30.8,44.4,39.6,30.8,4,3,0,1,1,2,15.4,5,0.8
Lucas Johnson,40551,QB,S DIEGO ST,1,2.55,2.57,3.65,,27,284,76.9,13,13,8.4,1.78,0,1,7.1,76.9,10,1,0.0,13,48.1,0,0.8,5,,,,,66.2,75.0,71.2,,74.4,,,,,,,0,0,14,61.5,0.0,130.6,0.0,0,0,0,0,1,0,0.0,121,9.3,50.0,10,11,17.6,3.52,0,0,0.0,36.4,4,7,20.0,13,48.1,1,-0.36,3,,,,,66.0,62.7,71.0,,62.4,,,,,,,1,0,13,30.8,28.6,56.3,15.4,2,0,0,0,0,0,0.0,63,5.7
Kobe Tracy,141317,QB,DIXIE,2,2.78,2.78,,,27,1285,83.3,6,6,6.7,1.92,0,0,0.0,83.3,5,2,0.0,6,22.2,0,-0.02,1,,,,,64.9,69.1,69.5,,68.7,,,,,,,0,0,8,33.3,0.0,97.9,0.0,0,0,0,0,0,0,0.0,45,7.5,40.0,20,21,11.0,3.02,0,2,9.1,28.6,6,7,25.0,21,77.8,2,-0.27,5,,,,,67.4,62.9,72.7,,62.6,,,,,,,0,0,22,23.8,0.0,82.6,0.0,0,0,0,1,2,3,13.6,120,5.7
Randall Johnson,98675,QB,WEBER ST,2,2.97,2.62,3.88,5.6,27,342,66.7,12,12,1.7,1.6,0,0,0.0,66.7,8,2,0.0,12,44.4,0,-0.14,2,,,,,65.8,49.8,70.7,,49.7,,,,,,,0,0,12,41.7,0.0,100.0,0.0,0,0,0,0,1,0,0.0,42,3.5,62.5,8,9,24.6,4.06,0,2,22.2,55.6,5,11,0.0,15,55.6,0,-0.18,4,,,,,66.4,54.5,71.4,,56.5,,,57.3,,,,1,1,15,26.7,45.5,100.5,33.3,5,1,0,0,2,1,6.7,128,14.2
Peyton Derrick,60329,QB,WOFFORD,3,2.85,2.44,4.4,4.26,27,350,80.0,10,10,4.8,1.83,0,0,0.0,70.0,7,1,12.5,10,37.0,1,0.09,3,,,,,65.4,63.9,70.1,,63.6,,,,,,,0,0,10,50.0,0.0,83.3,0.0,0,0,0,0,0,0,0.0,55,5.5,50.0,10,11,23.3,3.45,0,0,0.0,45.5,5,7,0.0,17,63.0,0,0.05,8,,,,,66.8,62.1,72.0,,48.5,,,76.1,,,,0,2,18,41.2,14.3,59.5,5.9,1,5,0,1,1,2,11.1,76,6.9
Ted Hefter,60611,QB,WM & MARY,1,2.92,2.72,4.0,,25,348,77.8,9,9,5.0,2.04,0,0,0.0,55.6,5,2,28.6,9,36.0,2,0.04,3,,,,,65.1,87.4,69.8,,86.7,,,,,,,0,0,9,44.4,0.0,73.8,0.0,0,0,0,0,0,0,0.0,55,6.1,66.7,12,12,7.8,3.42,0,0,0.0,66.7,8,8,0.0,16,64.0,0,-0.6,4,,,,,66.5,34.2,71.6,,34.4,,,,,,,0,1,16,31.3,50.0,76.0,25.0,4,0,0,0,1,2,12.5,73,6.1
Jack Smith,40952,QB,CENT WASH,1,2.68,2.47,,4.2,25,367,83.3,12,12,3.8,1.87,0,0,0.0,75.0,9,1,10.0,12,48.0,1,-0.02,2,,,,,65.8,60.6,70.7,,60.4,,,,,,,0,1,12,41.7,0.0,53.5,0.0,0,0,0,0,0,1,8.3,68,5.7,60.0,10,10,13.9,3.42,0,0,0.0,50.0,5,8,16.7,13,52.0,1,-0.02,4,,,,,65.8,57.0,71.0,,58.0,,,58.1,,,,0,0,13,38.5,0.0,66.3,0.0,0,3,0,0,0,0,0.0,54,5.4
Ben Nienhuis,66631,QB,DRAKE,2,2.27,2.14,3.75,,25,153,50.0,16,18,5.1,1.95,2,0,0.0,44.4,8,3,0.0,19,76.0,0,-0.81,1,,,,,67.0,48.2,72.2,,48.2,,,,,,,0,1,19,15.8,33.3,28.5,5.3,1,0,0,0,0,1,5.3,39,2.2,50.0,4,5,19.3,3.3,1,0,0.0,20.0,1,2,50.0,6,24.0,1,-1.18,0,,,,,64.2,40.1,68.6,,40.3,,,,,,,0,0,6,16.7,50.0,39.6,16.7,1,0,0,0,0,0,0.0,10,2.0
Keaton Heide,103940,QB,S DAK ST,2,2.58,2.43,,6.0,25,292,83.3,12,12,1.7,1.63,0,0,0.0,75.0,9,2,10.0,12,48.0,1,-0.09,4,,,,,65.8,63.9,70.7,,63.6,,,,,,,0,0,12,33.3,0.0,89.2,0.0,0,0,0,0,0,0,0.0,71,5.9,45.5,11,12,8.2,3.45,0,0,0.0,33.3,4,10,20.0,13,52.0,1,-0.47,3,,,,,66.4,51.2,71.4,,49.6,,,61.0,,,,1,1,15,23.1,0.0,9.4,0.0,0,1,0,0,0,0,0.0,41,3.4
Ethan Bullock,66590,QB,OKLA STATE,2,2.58,2.25,4.23,,24,262,75.0,12,12,5.3,1.67,0,0,0.0,66.7,8,1,11.1,12,50.0,1,-0.52,3,,,,,66.2,49.8,71.2,,49.8,,,,,,,0,1,14,33.3,0.0,43.4,0.0,0,0,0,0,0,1,7.1,59,4.9,57.1,7,8,16.0,3.48,0,0,0.0,37.5,3,5,25.0,12,50.0,1,-0.91,2,,,,,65.8,56.7,70.7,,56.5,,,,,,,0,0,12,16.7,80.0,45.8,33.3,4,0,0,1,0,1,8.3,15,1.9
Austin Kendall,40056,QB,W VIRGINIA,2,2.66,2.34,10.0,,24,343,73.3,15,15,7.9,1.89,0,0,0.0,60.0,9,4,18.2,15,62.5,2,0.54,5,,,,,66.5,51.4,71.6,,51.4,,,,,,,0,0,16,60.0,0.0,110.4,0.0,0,0,0,0,1,0,0.0,130,8.7,50.0,8,8,13.8,3.94,0,0,0.0,25.0,2,5,50.0,9,37.5,2,-0.3,2,,,,,65.4,58.8,70.1,,58.7,,,,,,,0,0,10,22.2,20.0,84.4,11.1,1,0,0,0,1,0,0.0,34,4.3
Jemel Jones,102863,QB,ARMY,4,2.99,2.86,2.5,4.03,24,114,50.0,8,8,20.9,2.04,0,1,10.0,50.0,4,3,0.0,8,33.3,0,0.06,3,,,,,65.4,67.8,70.1,,67.5,,,,,,,0,1,10,50.0,0.0,83.9,0.0,0,0,0,0,2,1,10.0,77,9.6,45.5,11,12,18.9,3.46,0,0,0.0,41.7,5,7,0.0,16,66.7,0,-0.78,3,,,,,66.5,30.5,71.6,,34.1,,,50.1,,,,0,1,16,18.8,14.3,29.5,6.3,1,3,0,1,0,1,6.3,79,6.6
Kamal Gray,125328,QB,TEMPLE,1,2.39,2.15,,4.95,23,306,53.8,13,13,3.1,1.51,0,0,0.0,53.8,7,2,0.0,13,56.5,0,-0.63,3,,,,,66.0,27.3,71.0,,27.5,,,,,,,0,1,13,30.8,0.0,29.3,0.0,0,0,0,0,0,2,15.4,45,3.5,37.5,8,8,24.1,3.54,0,1,12.5,37.5,3,6,0.0,10,43.5,0,-0.11,3,,,,,65.4,52.0,70.1,,51.8,,,59.1,,,,0,1,10,30.0,0.0,19.8,0.0,0,2,0,0,0,2,20.0,50,6.3
Ryan Yost,103948,QB,WAGNER,2,2.41,2.31,4.6,,23,338,68.8,16,16,10.8,1.85,0,0,0.0,56.3,9,3,18.2,16,69.6,2,-0.06,5,,,,,66.7,60.3,71.8,,60.1,,,,,,,0,0,17,43.8,0.0,71.9,0.0,0,0,0,0,0,1,5.9,88,5.5,50.0,4,6,7.8,3.7,0,0,0.0,16.7,1,5,50.0,7,30.4,1,-1.03,0,,,,,64.6,47.3,69.1,,47.3,,,,,,,0,0,7,0.0,20.0,39.6,14.3,1,0,0,2,0,0,0.0,1,0.2
Thaddeus Peyton,63565,QB,TEXAS STHN,1,2.34,2.21,2.4,4.9,23,313,93.3,15,15,3.7,1.89,0,0,0.0,86.7,13,2,7.1,16,69.6,1,0.71,9,,,,,66.7,79.9,71.8,,79.2,,,,,,,0,0,17,75.0,50.0,137.1,6.3,1,0,0,0,2,0,0.0,111,7.4,60.0,5,5,14.4,3.39,0,0,0.0,60.0,3,2,0.0,7,30.4,0,-0.35,1,,,,,2.5,29.2,69.1,,48.4,,,43.8,,,,0,0,7,42.9,50.0,73.8,14.3,1,1,0,0,0,2,28.6,26,5.2
Anthony Brown Jr.,40316,QB,OREGON,2,2.43,2.43,,,23,264,86.7,15,15,6.5,2.05,0,0,0.0,66.7,10,4,23.1,15,65.2,3,0.29,7,,,,,66.4,73.3,71.4,,72.8,,,,,,,0,0,15,46.7,0.0,122.8,0.0,0,0,0,0,2,0,0.0,92,6.1,85.7,7,8,13.0,3.16,0,0,0.0,62.5,5,3,16.7,8,34.8,1,0.69,5,,,,,65.1,85.7,69.8,,84.9,,,,,,,0,0,9,62.5,0.0,91.7,0.0,0,0,0,1,0,0,0.0,72,9.0
AC Graham,108973,QB,JVILLE ST,2,3.74,3.25,3.7,5.7,22,196,75.0,4,4,3.5,1.85,0,0,0.0,50.0,2,0,33.3,4,18.2,1,-0.38,1,,,,,63.3,67.1,67.4,,66.8,,,,,,,0,0,4,25.0,,60.4,0.0,0,0,0,0,0,0,0.0,16,4.0,25.0,8,12,23.1,4.16,0,0,0.0,16.7,2,9,0.0,18,81.8,0,-0.4,2,,,,,66.8,33.4,72.0,,32.8,,,55.0,,,,1,2,18,22.2,22.2,28.5,11.1,2,4,0,3,1,2,11.1,38,3.2
Xavier Arline,121831,QB,NAVY,4,4.45,4.07,4.33,5.32,22,237,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,,,,,,,,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,62.5,8,12,13.1,4.45,0,0,0.0,33.3,4,15,20.0,22,100.0,1,-0.63,3,,,,,67.5,53.5,72.8,,53.5,,,57.9,,,,0,0,23,22.7,26.7,42.4,18.2,4,6,0,4,0,0,0.0,27,2.3
Cole Copeland,63563,QB,CHATTNOOGA,2,2.67,2.48,2.5,6.6,22,137,70.0,10,10,7.0,1.87,0,0,0.0,70.0,7,0,0.0,10,45.5,0,-0.64,2,,,,,65.4,48.9,70.1,,49.0,,,,,,,0,1,10,60.0,,49.6,0.0,0,0,0,0,0,1,10.0,69,6.9,80.0,10,10,16.1,3.33,0,2,20.0,60.0,6,3,25.0,12,54.5,2,0.74,6,,,,,65.8,87.0,70.7,,90.0,,,57.3,,,,0,0,12,50.0,33.3,137.5,8.3,1,1,0,0,1,0,0.0,127,12.7
Ben Finley,122864,QB,NC STATE,1,2.2,2.1,4.4,,21,248,80.0,15,15,0.2,1.57,0,0,0.0,73.3,11,0,8.3,15,71.4,1,-0.16,5,,,,,66.4,72.5,71.4,,72.1,,,,,,,0,2,15,46.7,,76.7,0.0,0,0,0,0,1,0,0.0,111,7.4,66.7,3,5,12.7,3.78,0,0,0.0,40.0,2,3,0.0,6,28.6,0,-1.09,2,,,,,14.6,26.2,69.1,,26.4,,,,,,,0,0,7,33.3,33.3,62.1,16.7,1,0,0,2,0,1,14.3,32,6.4
Nigel Summerville,108985,QB,LEHIGH,2,3.38,3.27,3.55,3.63,21,205,100.0,3,3,3.0,2.13,0,0,0.0,66.7,2,1,33.3,3,14.3,1,0.46,1,,,,,62.7,63.5,66.6,,63.3,,,,,,,0,0,3,33.3,0.0,81.3,0.0,0,0,0,0,0,0,0.0,17,5.7,60.0,10,11,13.1,3.58,0,0,0.0,45.5,5,10,16.7,18,85.7,1,-0.23,4,,,,,22.9,35.1,72.0,,34.1,,,56.8,,,,0,0,18,33.3,40.0,68.0,22.2,4,3,0,1,0,1,5.6,74,6.7
Braeden Zenelovic,102340,QB,ALBANY,1,2.66,2.48,,6.3,21,106,80.0,10,11,8.2,2.0,0,0,0.0,63.6,7,3,12.5,11,52.4,1,0.11,4,,,,,65.6,63.5,70.4,,63.3,,,,,,,1,1,11,54.5,0.0,38.8,0.0,0,0,0,0,0,1,9.1,57,5.2,25.0,8,9,11.8,3.38,0,1,11.1,22.2,2,7,0.0,10,47.6,0,-0.82,0,,,,,65.4,70.7,70.1,,74.2,,,57.0,,,,0,1,10,10.0,0.0,0.0,0.0,0,1,0,1,0,0,0.0,12,1.3
Kohen Granier,63573,QB,NICHOLLS,4,2.55,2.43,,4.7,20,243,45.5,11,11,11.6,2.0,0,0,0.0,45.5,5,4,0.0,11,55.0,0,-0.09,4,,,,,65.6,58.5,70.4,,58.4,,,,,,,0,0,11,45.5,0.0,106.8,0.0,0,0,0,0,2,1,9.1,72,6.5,62.5,8,8,12.8,3.21,0,0,0.0,50.0,4,6,20.0,9,45.0,1,0.27,3,,,,,65.1,59.4,69.8,,62.2,,,57.3,,,,0,0,9,44.4,0.0,70.3,0.0,0,1,0,0,0,1,11.1,51,6.4
Connor Desch,134918,QB,WE COLO ST,1,2.23,2.25,1.8,,20,1185,42.9,14,14,7.6,1.76,0,0,0.0,42.9,6,4,0.0,15,75.0,0,-1.37,1,,,,,66.4,41.4,71.4,,41.6,,,,,,,0,1,15,13.3,25.0,20.5,6.7,1,0,0,0,0,0,0.0,34,2.4,100.0,3,5,19.0,3.62,1,1,20.0,40.0,2,5,33.3,5,25.0,1,0.81,2,,,,,63.8,90.2,68.1,,90.0,,,,,,,0,0,5,40.0,0.0,87.5,0.0,0,0,0,1,0,0,0.0,74,14.8
Bryce Robinson,108962,QB,AUSTINPEAY,2,3.14,2.59,3.5,4.63,20,116,75.0,8,9,6.1,2.03,1,0,0.0,66.7,6,1,0.0,9,45.0,0,0.23,4,,,,,65.1,46.6,69.8,,46.7,,,,,,,0,0,9,55.6,0.0,82.2,0.0,0,0,0,0,0,1,11.1,53,5.9,50.0,4,4,23.5,4.04,0,0,0.0,25.0,1,6,50.0,11,55.0,1,0.07,2,,,,,19.6,38.7,70.7,,36.5,,,56.6,,,,0,0,12,27.3,50.0,81.3,27.3,3,4,0,0,1,1,8.3,14,3.5
Derrick Ponder,82138,QB,MWSTATE,1,2.69,2.63,2.5,4.1,20,983,62.5,8,8,8.5,1.94,0,2,22.2,50.0,4,2,20.0,9,45.0,1,-0.21,2,,,,,65.4,76.2,70.1,,75.7,,,,,,,0,0,10,33.3,50.0,70.3,11.1,1,0,0,0,0,0,0.0,51,6.4,66.7,9,9,9.3,3.3,0,0,0.0,44.4,4,4,33.3,11,55.0,2,-0.42,1,,,,,65.6,54.9,70.4,,57.5,,,57.3,,,,0,0,11,18.2,25.0,55.8,9.1,1,1,0,0,0,0,0.0,36,4.0
Jacob Medrano,143437,QB,NORTHEA ST,1,2.26,2.24,2.6,,20,1030,69.2,13,15,3.3,1.85,0,0,0.0,53.3,8,6,11.1,15,75.0,1,-0.3,3,,,,,66.5,62.2,71.6,,61.9,,,,,,,0,1,16,20.0,0.0,46.0,0.0,0,0,0,2,0,1,6.3,98,6.5,50.0,2,4,3.0,3.48,1,0,0.0,25.0,1,4,0.0,5,25.0,0,-1.13,0,,,,,64.2,74.3,68.6,,73.8,,,,,,,0,0,6,0.0,25.0,39.6,20.0,1,0,0,1,0,0,0.0,1,0.3
Taisun Phommachanh,99577,QB,CLEMSON,4,2.38,2.06,3.9,4.35,20,140,53.8,13,13,5.7,1.84,0,1,7.7,38.5,5,2,28.6,13,65.0,2,-0.96,0,,,,,66.0,45.8,71.0,,45.8,,,,,,,0,1,13,7.7,0.0,14.6,0.0,0,0,0,0,0,1,7.7,17,1.3,25.0,4,4,26.5,3.39,0,0,0.0,0.0,0,3,100.0,7,35.0,1,-1.02,0,,,,,64.6,47.7,69.1,,53.0,,,53.5,,,,0,0,7,0.0,33.3,39.6,14.3,1,2,0,0,0,0,0.0,0,0.0
Chase Cunningham,78533,QB,MIDDLE TN,2,2.5,2.36,3.1,4.3,19,224,84.6,13,13,3.7,1.55,0,0,0.0,69.2,9,0,18.2,13,68.4,2,-0.85,3,,,,,66.0,46.6,71.0,,46.6,,,,,,,0,1,13,38.5,,46.3,0.0,0,0,0,0,0,1,7.7,58,4.5,33.3,3,4,21.0,4.57,0,0,0.0,25.0,1,5,0.0,6,31.6,0,-0.03,1,,,,,64.2,41.1,68.6,,43.6,,,57.3,,,,0,1,6,33.3,20.0,0.0,16.7,1,1,0,1,0,1,16.7,10,2.5
Casey Thompson,77677,QB,TEXAS,2,2.98,2.6,5.2,7.3,19,311,100.0,6,6,12.2,1.88,0,0,0.0,83.3,5,0,16.7,6,31.6,1,0.87,4,,,,,64.6,80.5,69.1,,79.9,,,,,,,0,0,7,50.0,,155.6,0.0,0,0,0,0,2,0,0.0,71,11.8,72.7,11,11,16.3,3.49,0,3,23.1,63.6,7,3,12.5,13,68.4,1,0.97,5,,,,,66.4,84.5,71.4,,86.9,,,57.3,,,,0,0,15,38.5,33.3,146.8,7.7,1,1,0,0,4,0,0.0,154,14.0
Darique Hampton,105274,WR,CITADEL,2,2.49,2.42,3.1,,19,139,44.4,9,9,13.6,2.05,0,0,0.0,33.3,3,1,25.0,10,52.6,1,-0.13,3,,,,,17.6,53.5,70.1,,53.5,,,,,,,0,1,10,30.0,100.0,48.1,10.0,1,0,0,0,1,2,20.0,45,5.0,50.0,6,8,8.3,2.99,0,0,0.0,37.5,3,5,0.0,9,47.4,0,-0.71,1,,,,,65.1,52.1,69.8,,52.0,,,,,,,1,0,9,22.2,20.0,45.8,11.1,1,0,0,1,0,0,0.0,23,2.9
