join_name,draft_season,pick,round,w_av,dr_av,games,seasons_started,probowls,allpro,proxy_hit,proxy_hit_flat,proxy_hit_era_scaled,label_maturity
craig kupp,1990,135,5,0.0,,1.0,0,0,0,0,0,0,mature
john friesz,1990,138,6,26.0,14.0,69.0,1,0,0,0,0,1,mature
mike buck,1990,156,6,2.0,1.0,12.0,0,0,0,0,0,0,mature
gerry gdowski,1990,207,8,,,,0,0,0,0,0,0,mature
kirk baumgartner,1990,242,9,,,,0,0,0,0,0,0,mature
todd ellis,1990,247,9,,,,0,0,0,0,0,0,mature
clemente gordon,1990,296,11,,,,0,0,0,0,0,0,mature
todd hammel,1990,307,12,,,,0,0,0,0,0,0,mature
gene benhart,1990,311,12,,,,0,0,0,0,0,0,mature
john gromos,1990,312,12,,,,0,0,0,0,0,0,mature
major harris,1990,317,12,,,,0,0,0,0,0,0,mature
reggie slack,1990,321,12,,,,0,0,0,0,0,0,mature
dan mcgwire,1991,16,1,2.0,2.0,13.0,0,0,0,0,0,0,mature
todd marinovich,1991,24,1,3.0,3.0,8.0,0,0,0,0,0,0,mature
brett favre,1991,33,2,158.0,0.0,302.0,19,11,3,1,1,1,mature
browning nagle,1991,34,2,5.0,5.0,24.0,1,0,0,0,0,0,mature
scott zolak,1991,84,4,4.0,4.0,55.0,0,0,0,0,0,0,mature
donald hollas,1991,99,4,5.0,3.0,32.0,0,0,0,0,0,0,mature
bill musgrave,1991,106,4,1.0,,12.0,0,0,0,0,0,0,mature
craig erickson,1991,131,5,21.0,,52.0,2,0,0,0,0,0,mature
paul justin,1991,190,7,8.0,,34.0,0,0,0,0,0,0,mature
pat ohara,1991,260,10,,,,0,0,0,0,0,0,mature
shawn moore,1991,284,11,1.0,1.0,3.0,0,0,0,0,0,0,mature
jeff bridewell,1991,309,12,,,,0,0,0,0,0,0,mature
larry wanke,1991,334,12,,,,0,0,0,0,0,0,mature
david klingler,1992,6,1,11.0,10.0,33.0,1,0,0,0,0,0,mature
tommy maddox,1992,25,1,24.0,2.0,92.0,2,0,0,0,0,0,mature
matt blundin,1992,40,2,0.0,0.0,3.0,0,0,0,0,0,0,mature
tony sacca,1992,46,2,0.0,0.0,2.0,0,0,0,0,0,0,mature
craig erickson,1992,86,4,21.0,17.0,52.0,2,0,0,0,0,0,mature
casey weldon,1992,102,4,1.0,,26.0,0,0,0,0,0,0,mature
will furrer,1992,107,4,1.0,0.0,9.0,0,0,0,0,0,0,mature
chris hakel,1992,112,4,,,,0,0,0,0,0,0,mature
jeff blake,1992,166,6,69.0,0.0,119.0,8,1,0,1,1,1,mature
ricky jones,1992,198,8,,,,0,0,0,0,0,0,mature
kent graham,1992,211,8,21.0,11.0,81.0,1,0,0,0,0,0,mature
bucky richardson,1992,220,8,3.0,3.0,16.0,0,0,0,0,0,0,mature
mike pawlawski,1992,222,8,,,,0,0,0,0,0,0,mature
brad johnson,1992,227,9,76.0,25.0,177.0,8,2,0,1,1,1,mature
tj rubley,1992,228,9,5.0,5.0,10.0,0,0,0,0,0,0,mature
ty detmer,1992,230,9,16.0,0.0,54.0,2,0,0,0,0,0,mature
darian hagan,1992,242,9,,,,0,0,0,0,0,0,mature
mark barsotti,1992,296,11,,,,0,0,0,0,0,0,mature
keithen mccant,1992,316,12,,,,0,0,0,0,0,0,mature
cornelius benton,1992,318,12,,,,0,0,0,0,0,0,mature
matt rodgers,1992,335,12,,,,0,0,0,0,0,0,mature
drew bledsoe,1993,1,1,105.0,74.0,194.0,12,4,0,1,1,1,mature
rick mirer,1993,2,1,33.0,28.0,80.0,5,0,0,1,1,1,mature
billy joe hobert,1993,58,3,7.0,3.0,29.0,0,0,0,0,0,0,mature
mark brunell,1993,118,5,96.0,0.0,193.0,11,3,0,1,1,1,mature
gino torretta,1993,192,7,0.0,0.0,2.0,0,0,0,0,0,0,mature
alex van pelt,1993,216,8,7.0,,31.0,0,0,0,0,0,0,mature
elvis grbac,1993,219,8,48.0,8.0,105.0,4,1,0,1,1,1,mature
trent green,1993,222,8,94.0,,120.0,7,2,0,1,1,1,mature
heath shuler,1994,3,1,6.0,7.0,29.0,2,0,0,0,0,0,mature
trent dilfer,1994,6,1,51.0,39.0,130.0,7,1,0,1,1,1,mature
perry klein,1994,111,4,0.0,0.0,2.0,0,0,0,0,0,0,mature
doug nussmeier,1994,116,4,2.0,2.0,5.0,0,0,0,0,0,0,mature
jim miller,1994,178,6,16.0,1.0,37.0,2,0,0,0,0,0,mature
gus frerotte,1994,197,7,57.0,31.0,147.0,5,1,0,1,1,1,mature
jay walker,1994,198,7,0.0,,1.0,0,0,0,0,0,0,mature
steve matthews,1994,199,7,1.0,,3.0,0,0,0,0,0,0,mature
glenn foley,1994,208,7,8.0,7.0,21.0,0,0,0,0,0,0,mature
steve mcnair,1995,3,1,99.0,93.0,161.0,10,3,0,1,1,1,mature
kerry collins,1995,5,1,83.0,14.0,198.0,11,2,0,1,1,1,mature
todd collins,1995,45,2,11.0,9.0,49.0,1,0,0,0,0,0,mature
kordell stewart,1995,60,2,60.0,58.0,125.0,6,1,0,1,1,1,mature
stoney case,1995,80,3,4.0,1.0,20.0,0,0,0,0,0,0,mature
eric zeier,1995,84,3,5.0,-2.0,28.0,0,0,0,0,0,0,mature
rob johnson,1995,99,4,21.0,2.0,48.0,2,0,0,0,0,0,mature
chad may,1995,111,4,,,,0,0,0,0,0,0,mature
dave barr,1995,119,4,0.0,,2.0,0,0,0,0,0,0,mature
steve stenstrom,1995,134,4,6.0,,17.0,0,0,0,0,0,0,mature
jay barker,1995,160,5,,,,0,0,0,0,0,0,mature
jerry colquitt,1995,191,6,,,,0,0,0,0,0,0,mature
craig whelihan,1995,197,6,1.0,1.0,19.0,1,0,0,0,0,0,mature
john walsh,1995,213,7,,,,0,0,0,0,0,0,mature
tony banks,1996,42,2,43.0,25.0,96.0,5,0,0,1,1,1,mature
bobby hoying,1996,85,3,3.0,3.0,22.0,1,0,0,0,0,0,mature
jeff lewis,1996,100,4,2.0,1.0,12.0,0,0,0,0,0,0,mature
danny kanell,1996,130,4,14.0,9.0,43.0,2,0,0,0,0,0,mature
spence fischer,1996,203,6,,,,0,0,0,0,0,0,mature
mike cawley,1996,205,6,,,,0,0,0,0,0,0,mature
jon stark,1996,238,7,,,,0,0,0,0,0,0,mature
kyle wachholtz,1996,240,7,,,,0,0,0,0,0,0,mature
jim druckenmiller,1997,26,1,1.0,1.0,6.0,0,0,0,0,0,0,mature
jake plummer,1997,42,2,77.0,37.0,143.0,10,1,0,1,1,1,mature
danny wuerffel,1997,99,4,6.0,4.0,25.0,0,0,0,0,0,0,mature
pat barnes,1997,110,4,0.0,,1.0,0,0,0,0,0,0,mature
mike cherry,1997,171,6,0.0,0.0,2.0,0,0,0,0,0,0,mature
chuck clements,1997,191,6,0.0,0.0,1.0,0,0,0,0,0,0,mature
tony graziani,1997,204,7,3.0,3.0,18.0,0,0,0,0,0,0,mature
koy detmer,1997,207,7,4.0,4.0,103.0,0,0,0,0,0,0,mature
wally richardson,1997,234,7,0.0,0.0,1.0,0,0,0,0,0,0,mature
tony corbin,1997,237,7,,,,0,0,0,0,0,0,mature
ron mcada,1997,240,7,,,,0,0,0,0,0,0,mature
peyton manning,1998,1,1,176.0,147.0,266.0,17,14,7,1,1,1,mature
ryan leaf,1998,2,1,1.0,0.0,25.0,1,0,0,0,0,0,mature
charlie batch,1998,60,2,34.0,29.0,81.0,4,0,0,1,1,1,mature
jonathan quinn,1998,86,3,4.0,3.0,17.0,0,0,0,0,0,0,mature
brian griese,1998,91,3,54.0,41.0,93.0,5,1,0,1,1,1,mature
john dutton,1998,172,6,,,,0,0,0,0,0,0,mature
matt hasselbeck,1998,187,6,87.0,0.0,209.0,11,3,0,1,1,1,mature
moses moreno,1998,232,7,1.0,0.0,9.0,0,0,0,0,0,0,mature
tim couch,1999,1,1,30.0,30.0,62.0,3,0,0,1,1,1,mature
donovan mcnabb,1999,2,1,107.0,101.0,167.0,11,6,0,1,1,1,mature
akili smith,1999,3,1,2.0,2.0,22.0,1,0,0,0,0,0,mature
daunte culpepper,1999,11,1,86.0,80.0,105.0,5,3,0,1,1,1,mature
cade mcnown,1999,12,1,8.0,8.0,25.0,1,0,0,0,0,0,mature
shaun king,1999,50,2,19.0,18.0,34.0,1,0,0,0,0,0,mature
brock huard,1999,77,3,2.0,2.0,8.0,0,0,0,0,0,0,mature
joe germaine,1999,101,4,1.0,1.0,3.0,0,0,0,0,0,0,mature
aaron brooks,1999,131,4,66.0,,93.0,5,0,0,1,1,1,mature
kevin daft,1999,151,5,,,,0,0,0,0,0,0,mature
michael bishop,1999,227,7,0.0,0.0,8.0,0,0,0,0,0,0,mature
chris greisen,1999,239,7,0.0,0.0,5.0,0,0,0,0,0,0,mature
scott covington,1999,245,7,0.0,0.0,4.0,0,0,0,0,0,0,mature
chad pennington,2000,18,1,55.0,41.0,89.0,5,0,0,1,1,1,mature
giovanni carmazzi,2000,65,3,,,,0,0,0,0,0,0,mature
chris redman,2000,75,3,9.0,3.0,30.0,0,0,0,0,0,0,mature
tee martin,2000,163,5,0.0,0.0,3.0,0,0,0,0,0,0,mature
marc bulger,2000,168,6,57.0,,96.0,8,2,0,1,1,1,mature
spergon wynn,2000,183,6,2.0,0.0,10.0,0,0,0,0,0,0,mature
tom brady,2000,199,6,184.0,168.0,335.0,21,15,3,1,1,1,mature
todd husak,2000,202,6,0.0,0.0,1.0,0,0,0,0,0,0,mature
jajuan seider,2000,205,6,,,,0,0,0,0,0,0,mature
tim rattay,2000,212,7,12.0,10.0,40.0,1,0,0,0,0,0,mature
jarious jackson,2000,214,7,0.0,0.0,5.0,0,0,0,0,0,0,mature
joe hamilton,2000,234,7,0.0,0.0,1.0,0,0,0,0,0,0,mature
michael vick,2001,1,1,92.0,60.0,143.0,7,4,0,1,1,1,mature
drew brees,2001,32,2,167.0,27.0,287.0,19,13,1,1,1,1,mature
quincy carter,2001,53,2,16.0,15.0,38.0,2,0,0,0,0,0,mature
marques tuiasosopo,2001,59,2,1.0,1.0,13.0,0,0,0,0,0,0,mature
chris weinke,2001,106,4,9.0,9.0,29.0,1,0,0,0,0,0,mature
sage rosenfels,2001,109,4,13.0,,44.0,0,0,0,0,0,0,mature
jesse palmer,2001,125,4,1.0,1.0,8.0,0,0,0,0,0,0,mature
mike mcmahon,2001,149,5,6.0,5.0,29.0,0,0,0,0,0,0,mature
aj feeley,2001,155,5,7.0,6.0,28.0,1,0,0,0,0,0,mature
josh booty,2001,172,6,,,,0,0,0,0,0,0,mature
josh heupel,2001,177,6,,,,0,0,0,0,0,0,mature
david carr,2002,1,1,45.0,42.0,94.0,5,0,0,1,1,1,mature
joey harrington,2002,3,1,31.0,23.0,81.0,6,0,0,1,1,0,mature
patrick ramsey,2002,32,1,14.0,13.0,37.0,1,0,0,0,0,0,mature
josh mccown,2002,81,3,40.0,13.0,102.0,5,0,0,1,1,1,mature
david garrard,2002,108,4,62.0,62.0,86.0,5,1,0,1,1,1,mature
rohan davey,2002,117,4,0.0,0.0,7.0,0,0,0,0,0,0,mature
randy fasani,2002,137,5,1.0,1.0,4.0,0,0,0,0,0,0,mature
kurt kittner,2002,158,5,1.0,1.0,7.0,0,0,0,0,0,0,mature
brandon doman,2002,163,5,,,,0,0,0,0,0,0,mature
craig nall,2002,164,5,1.0,1.0,7.0,0,0,0,0,0,0,mature
jt osullivan,2002,186,6,6.0,,17.0,0,0,0,0,0,0,mature
steve bellisari,2002,205,6,,,,0,0,0,0,0,0,mature
seth burford,2002,216,7,,,,0,0,0,0,0,0,mature
jeff kelly,2002,232,7,,,,0,0,0,0,0,0,mature
wes pate,2002,236,7,,,,0,0,0,0,0,0,mature
carson palmer,2003,1,1,107.0,60.0,182.0,12,3,0,1,1,1,mature
byron leftwich,2003,7,1,33.0,30.0,60.0,3,0,0,1,1,0,mature
kyle boller,2003,19,1,16.0,17.0,67.0,4,0,0,0,0,0,mature
rex grossman,2003,22,1,23.0,16.0,54.0,3,0,0,0,0,0,mature
dave ragone,2003,88,3,1.0,1.0,2.0,0,0,0,0,0,0,mature
chris simms,2003,97,3,8.0,8.0,23.0,1,0,0,0,0,0,mature
seneca wallace,2003,110,4,14.0,11.0,64.0,1,0,0,0,0,0,mature
brian st pierre,2003,163,5,0.0,0.0,3.0,0,0,0,0,0,0,mature
drew henson,2003,192,6,0.0,,9.0,0,0,0,0,0,0,mature
brooks bollinger,2003,200,6,6.0,5.0,21.0,1,0,0,0,0,0,mature
kliff kingsbury,2003,201,6,0.0,,1.0,0,0,0,0,0,0,mature
gibran hamdan,2003,232,7,0.0,0.0,1.0,0,0,0,0,0,0,mature
ken dorsey,2003,241,7,2.0,1.0,16.0,0,0,0,0,0,0,mature
eli manning,2004,1,1,121.0,,236.0,14,4,0,1,1,1,mature
philip rivers,2004,4,1,150.0,,247.0,15,8,0,1,1,1,mature
ben roethlisberger,2004,11,1,131.0,131.0,249.0,17,6,0,1,1,1,mature
jp losman,2004,22,1,19.0,19.0,45.0,1,0,0,0,0,0,mature
matt schaub,2004,90,3,68.0,4.0,155.0,7,2,0,1,1,1,mature
luke mccown,2004,106,4,8.0,2.0,62.0,0,0,0,0,0,0,mature
craig krenzel,2004,148,5,1.0,1.0,6.0,0,0,0,0,0,0,mature
andy hall,2004,185,6,,,,0,0,0,0,0,0,mature
josh harris,2004,187,6,,,,0,0,0,0,0,0,mature
jim sorgi,2004,193,6,5.0,5.0,16.0,0,0,0,0,0,0,mature
jeff smoker,2004,201,6,,,,0,0,0,0,0,0,mature
john navarre,2004,202,7,0.0,0.0,2.0,0,0,0,0,0,0,mature
cody pickett,2004,217,7,1.0,1.0,6.0,0,0,0,0,0,0,mature
casey bramlet,2004,218,7,,,,0,0,0,0,0,0,mature
matt mauck,2004,225,7,1.0,,2.0,0,0,0,0,0,0,mature
bj symons,2004,248,7,,,,0,0,0,0,0,0,mature
bradlee van pelt,2004,250,7,0.0,0.0,3.0,0,0,0,0,0,0,mature
alex smith,2005,1,1,98.0,28.0,174.0,14,3,0,1,1,1,mature
