player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_epa,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_positive_epa_percent,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_epa,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_positive_epa_percent,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Blake Frohnapfel,19699,QB,UMASS,12,2.64,2.46,3.6,4.55,537,216,71.5,253,267,7.0,1.92,8,7,2.5,62.5,167,52,7.7,272,50.7,14,-0.07,88,,,,,69.5,54.6,83.2,,54.0,,,64.1,,,2,6,284,45.6,7.7,80.0,1.5,4,1,0,4,10,15,5.3,1454,5.4,58.3,192,210,12.9,3.39,1,15,6.8,47.1,99,105,11.6,265,49.3,13,-0.19,61,,,,,66.6,54.0,62.5,,53.9,,,59.3,,,3,7,279,36.2,21.9,65.6,8.7,23,32,0,14,6,12,4.3,1440,6.9
Nick Arbuckle,16351,QB,GA STATE,13,2.5,2.41,2.97,4.64,532,175,80.7,290,298,7.5,1.84,5,21,6.7,71.1,212,67,9.4,308,57.9,22,0.33,118,,,,,76.7,90.8,83.8,,90.2,,,,,,0,5,323,53.2,14.9,109.6,3.2,10,0,0,3,17,5,1.5,2591,8.7,67.5,163,189,15.3,3.42,3,21,10.3,50.3,95,103,13.6,224,42.1,15,-0.1,68,,,,,64.5,77.9,82.3,,76.5,,,63.7,,,1,7,240,38.8,20.4,86.8,9.4,21,14,0,22,11,12,5.0,1764,9.3
Dak Prescott,10769,QB,MISS STATE,13,2.63,2.5,3.41,4.76,527,227,84.3,248,256,3.2,1.78,4,2,0.8,76.2,195,44,6.7,260,49.3,14,0.17,88,,,,,65.7,72.5,82.8,,71.4,,,,,,3,2,263,53.8,9.1,110.4,1.5,4,0,0,1,15,6,2.3,1754,6.9,64.8,210,222,13.6,3.45,1,19,8.2,54.5,121,132,11.0,267,50.7,15,0.16,97,,,,,47.5,76.4,83.1,,75.5,,,62.0,,,4,3,279,45.3,20.5,101.3,10.1,27,18,0,7,14,17,6.1,2045,9.2
Brent Stockstill,29288,QB,MIDDLE TN,13,2.28,2.16,3.54,4.92,519,224,78.4,320,329,4.7,1.65,6,18,5.3,71.7,236,43,6.0,329,63.4,15,0.25,122,,,,,77.0,90.8,84.1,,90.2,,,,,,0,5,338,49.8,0.0,110.6,0.0,0,0,0,3,22,9,2.7,2588,7.9,65.1,149,159,12.7,3.36,3,17,10.4,56.0,89,82,8.2,190,36.6,8,-0.15,53,,,,,23.4,62.8,81.4,,60.4,,,68.3,,,0,4,196,35.3,22.0,91.7,9.5,18,13,0,7,8,15,7.7,1398,8.8
Josh Rosen,35460,QB,UCLA,13,2.65,2.57,3.28,5.13,515,324,80.0,250,264,4.6,1.84,6,9,3.2,70.8,187,56,6.5,265,51.5,13,0.21,88,,,,,76.0,82.6,83.0,,81.0,,,,,,1,2,278,51.3,1.8,101.5,0.4,1,0,0,7,13,8,2.9,1718,6.5,57.5,200,225,15.5,3.51,5,21,8.8,46.7,105,119,8.7,250,48.5,10,0.12,83,,,,,45.6,77.1,61.4,,72.5,,,84.6,,,0,9,265,40.8,10.9,75.3,5.2,13,12,0,20,10,21,7.9,1953,8.7
Chad Kelly,12008,QB,OLE MISS,13,2.3,2.14,3.46,4.19,507,226,76.4,297,319,7.0,1.73,19,15,4.5,63.9,204,80,10.1,326,64.3,23,0.12,115,,,,,52.3,69.6,67.5,,68.9,,,,,,3,8,339,49.7,8.8,91.6,2.1,7,0,0,0,15,15,4.4,2371,7.4,73.8,130,140,15.1,3.36,3,17,11.3,67.1,94,86,2.1,180,35.5,2,0.47,75,,,,,65.7,92.6,81.2,,91.2,,,79.4,,,2,5,192,56.7,15.1,130.8,7.2,13,27,0,5,16,6,3.1,1665,11.9
Wes Lunt,12050,QB,ILLINOIS,12,2.36,2.31,3.39,4.1,502,187,72.5,298,305,5.6,1.82,5,6,1.9,62.0,189,49,12.5,307,61.2,27,-0.08,86,,,,,76.7,70.6,83.8,,69.5,,,,,,1,1,321,41.7,4.1,85.2,0.7,2,0,0,1,10,5,1.6,1606,5.3,63.3,150,175,10.2,3.21,0,8,4.4,45.7,80,101,15.8,195,38.8,15,-0.23,55,,,,,62.5,65.2,81.5,,63.4,,,70.8,,,0,5,203,33.3,17.8,63.2,9.2,18,2,0,25,4,8,3.9,1148,6.6
Tanner Mangum,34607,QB,BYU,13,2.9,2.73,3.69,4.89,501,128,79.0,214,221,6.6,1.88,6,4,1.7,72.4,160,24,5.3,224,44.7,9,0.08,69,,,,,75.4,73.9,82.3,,72.7,,,,,,0,6,242,50.9,12.5,92.6,1.3,3,0,0,1,11,3,1.2,1322,6.0,61.9,197,224,19.2,3.72,1,11,4.6,47.8,107,127,12.3,277,55.3,15,0.08,84,,,,,48.3,68.7,83.3,,69.4,,,55.7,,,7,4,295,39.4,22.0,90.7,10.1,28,25,0,19,12,15,5.1,2062,9.2
Cody Kessler,10727,QB,USC,14,2.84,2.71,3.5,4.9,499,326,85.3,204,209,4.8,1.81,4,5,2.3,79.4,166,44,4.6,213,42.7,8,0.4,79,,,,,75.1,80.8,82.0,,79.3,,,,,,1,2,224,58.2,9.1,122.2,1.9,4,0,0,0,16,1,0.4,1707,8.2,71.1,204,237,11.8,3.6,2,12,4.8,55.7,132,137,9.0,286,57.3,13,-0.06,88,,,,,69.9,81.3,83.4,,80.5,,,60.6,,,7,5,299,39.2,24.8,90.2,11.9,34,15,0,24,13,9,3.0,1831,7.7
Jeff Driskel,10841,QB,LA TECH,13,2.47,2.33,3.49,4.53,489,208,77.7,274,284,7.0,1.86,5,16,5.5,71.1,202,55,5.2,285,58.3,11,0.31,108,,,,,76.3,89.0,83.3,,87.0,,,,,,1,3,294,57.2,1.8,112.3,0.4,1,0,0,4,17,3,1.0,2415,8.5,59.9,152,164,18.3,3.32,1,13,7.4,48.2,79,90,13.2,204,41.7,12,0.18,75,,,,,63.4,71.2,81.8,,71.5,,,58.7,,,0,5,218,41.7,21.1,91.3,9.3,19,21,0,11,10,11,5.0,1632,10.0
Baker Mayfield,46518,QB,OKLAHOMA,13,2.92,2.48,4.16,5.48,483,261,80.3,254,255,6.2,1.79,1,12,4.6,72.9,186,43,8.8,261,54.0,18,0.39,116,,,,,66.1,91.2,82.8,,90.5,,,,,,0,4,267,56.7,14.0,123.2,2.3,6,0,0,0,24,3,1.1,2171,8.5,70.9,127,140,14.5,4.24,2,13,8.6,58.6,82,120,8.9,222,46.0,8,0.09,78,,,,,53.7,89.8,82.2,,90.0,,,66.3,,,0,3,236,45.5,28.3,116.0,15.3,34,48,0,11,12,8,3.4,1528,10.9
Mason Rudolph,46569,QB,OKLA STATE,13,2.48,2.29,3.45,4.75,479,262,75.0,256,260,8.5,1.74,3,12,4.5,69.2,180,37,6.3,266,55.5,12,0.32,108,,,,,76.0,91.0,83.0,,90.4,,,,,,1,5,274,50.8,16.2,101.2,2.3,6,0,0,0,13,7,2.6,2044,7.9,64.3,157,168,16.1,3.4,0,27,15.3,50.0,84,89,16.8,213,44.5,17,0.1,64,,,,,52.1,89.7,81.9,,90.9,,,48.7,,,1,4,222,40.8,25.8,92.4,10.8,23,22,0,10,8,12,5.4,1722,10.3
P.J. Walker,12134,QB,TEMPLE,14,2.6,2.41,3.35,5.23,479,306,74.6,244,254,5.8,1.88,8,12,4.3,62.6,159,68,12.6,256,53.4,23,0.04,72,,,,,66.4,71.8,83.1,,70.7,,,,,,0,5,279,46.5,2.9,85.7,0.8,2,0,0,2,10,11,3.9,1618,6.4,59.5,168,180,14.8,3.43,3,14,7.2,48.9,88,103,12.0,223,46.6,12,0.0,74,,,,,46.3,68.9,82.3,,64.2,,,74.5,,,1,3,237,36.8,15.5,84.1,7.2,16,27,0,8,9,18,7.6,1364,7.6
Paxton Lynch,10660,QB,MEMPHIS,13,2.54,2.39,3.64,5.02,479,218,80.9,272,274,5.3,1.73,1,5,1.8,73.0,200,34,9.1,276,57.6,20,0.25,100,,,,,76.1,77.7,83.1,,76.3,,,,,,0,3,281,52.2,5.9,102.6,0.7,2,0,0,1,12,5,1.8,1952,7.1,70.4,152,169,12.7,3.63,2,12,6.9,57.4,97,105,9.3,203,42.4,10,0.32,85,,,,,63.0,90.7,55.9,,89.3,,,74.1,,,1,1,208,46.8,13.3,124.4,6.9,14,20,0,14,16,7,3.4,1840,10.9
Alex McGough,46420,QB,FIU,12,2.49,2.28,3.78,4.64,472,166,80.1,261,268,4.5,1.65,6,3,1.1,69.4,186,37,11.0,270,57.2,23,0.05,83,,,,,76.0,76.0,83.1,,74.7,,,,,,1,3,279,48.9,5.4,99.5,0.7,2,0,0,0,15,9,3.2,1647,6.1,69.8,139,152,9.9,3.62,1,12,7.4,53.9,82,107,15.5,202,42.8,15,-0.29,44,,,,,20.9,66.8,81.7,,69.3,,,53.1,,,1,5,212,36.6,22.4,75.6,11.9,24,26,0,11,6,14,6.6,1062,7.0
Joe Licata,11390,QB,BUFFALO,12,2.42,2.38,3.1,3.7,471,126,73.8,263,273,6.5,1.89,5,8,2.8,67.4,184,57,5.2,274,58.2,10,-0.02,87,,,,,76.1,76.3,83.2,,74.9,,,,,,2,7,284,49.6,1.8,84.6,0.4,1,0,0,3,9,9,3.2,1705,6.2,66.0,159,178,12.5,3.16,1,11,5.7,53.9,96,81,8.6,197,41.8,9,-0.01,64,,,,,51.5,66.9,81.7,,65.8,,,63.8,,,5,8,214,42.1,17.3,71.0,7.1,14,5,0,13,7,13,6.1,1264,7.1
Skyler Howard,12262,QB,W VIRGINIA,13,2.83,2.57,3.75,4.91,469,343,68.3,183,190,8.5,1.74,6,3,1.5,59.5,113,27,9.6,194,41.4,12,-0.03,62,,,,,74.6,56.8,81.4,,56.9,,,57.3,,,0,5,201,44.8,11.1,93.6,1.5,3,1,0,1,15,6,3.0,1211,6.4,62.2,196,212,18.4,3.6,1,22,9.6,50.0,106,110,13.1,275,58.6,16,-0.12,87,,,,,60.4,76.9,83.3,,77.7,,,58.2,,,2,9,292,40.0,23.6,81.3,9.5,26,37,0,13,11,13,4.5,1933,9.1
Jacoby Brissett,10725,QB,NC STATE,13,2.99,2.7,4.18,5.13,469,248,79.0,181,188,4.2,1.83,4,4,2.1,70.2,132,38,7.7,191,40.7,11,0.01,63,,,,,61.9,69.1,81.3,,68.6,,,57.8,,,2,3,194,45.5,5.3,95.9,1.0,2,1,0,1,10,4,2.1,1094,5.8,63.8,177,207,13.9,3.81,1,14,6.5,50.7,105,129,7.1,276,58.8,8,-0.07,75,,,,,38.7,67.4,83.2,,70.2,,,51.7,,,3,3,285,36.2,27.1,86.0,12.7,35,34,0,26,10,10,3.5,1567,7.6
Brett Rypien,46487,QB,BOISE ST,11,2.36,2.27,3.21,5.16,462,120,83.1,267,275,5.5,1.79,6,9,3.2,72.4,199,49,10.4,279,60.4,23,0.23,113,,,,,57.3,88.0,83.2,,86.0,,,,,,2,5,289,53.4,8.2,101.6,1.4,4,0,0,0,11,9,3.1,2211,8.0,61.2,139,158,15.5,3.23,1,12,7.3,46.8,74,69,12.9,182,39.4,11,-0.08,51,,,,,48.5,68.1,81.2,,68.5,,,55.4,,,4,3,189,39.0,21.7,83.2,8.2,15,9,0,14,9,7,3.7,1177,7.4
Matt Linehan,46436,QB,IDAHO,11,2.68,2.46,3.1,4.52,458,185,79.1,244,252,7.1,1.95,6,13,5.0,71.4,180,63,6.7,259,56.6,13,0.23,90,,,,,75.8,90.7,82.8,,90.1,,,,,,0,4,266,55.2,11.1,99.1,2.7,7,0,0,2,10,6,2.3,1870,7.4,63.1,122,140,13.3,3.63,0,11,7.4,48.6,68,74,11.7,199,43.4,9,-0.03,57,,,,,39.5,69.4,81.6,,68.3,,,63.5,,,0,7,209,43.2,25.7,69.3,9.5,19,40,0,18,6,10,4.8,1119,8.0
Matt Johns,24210,QB,VIRGINIA,12,2.74,2.49,3.92,5.04,456,335,75.9,212,217,4.5,1.91,3,7,3.1,68.2,148,54,8.1,220,48.2,13,0.04,72,,,,,64.2,62.7,82.1,,62.1,,,,,,0,8,228,48.2,5.6,79.1,1.4,3,0,0,2,6,9,3.9,1370,6.3,62.7,166,187,13.6,3.5,1,10,5.0,52.4,98,102,5.8,236,51.8,6,0.03,79,,,,,52.6,58.0,46.1,,56.5,67.3,,62.8,,,0,9,251,41.9,15.7,80.1,6.8,16,33,0,20,13,21,8.4,1400,7.5
Thomas Sirk,22589,QB,DUKE,12,2.2,2.12,2.71,4.01,455,154,74.9,287,303,5.6,1.82,12,8,2.5,66.0,200,50,7.0,309,67.9,15,0.07,102,,,,,76.8,78.8,83.9,,77.2,,,,,,4,4,325,46.3,12.0,89.2,1.9,6,0,0,0,10,5,1.5,1937,6.4,53.1,113,124,15.8,3.0,0,4,2.9,41.1,51,48,15.0,146,32.1,9,-0.24,41,,,,,73.7,55.4,80.4,,52.4,,,68.1,,,4,4,160,32.9,14.6,61.9,4.8,7,15,0,7,6,9,5.6,679,5.5
Jake Coker,10951,QB,ALABAMA,15,2.75,2.42,4.4,5.79,447,103,85.4,206,211,2.9,1.63,3,3,1.4,78.2,165,33,6.3,212,47.4,11,0.22,72,,,,,75.0,72.6,81.9,,71.5,,,,,,1,3,223,53.3,3.0,103.6,0.5,1,0,0,1,8,6,2.7,1530,7.3,67.5,160,182,14.1,3.76,2,15,7.9,53.8,98,122,9.3,235,52.6,10,-0.05,75,,,,,64.9,78.9,82.4,,74.2,,,75.3,,,3,5,246,40.0,19.7,95.2,10.2,24,29,0,17,13,10,4.1,1568,8.6
Trevone Boykin,11279,QB,TCU,11,2.77,2.43,5.04,5.52,446,305,79.8,223,225,6.0,1.78,0,10,4.2,72.0,162,16,9.0,225,50.4,16,0.25,91,,,,,75.3,87.6,82.2,,85.8,,,,,,1,6,236,53.3,0.0,104.1,0.0,0,0,0,1,13,9,3.8,1828,8.1,64.4,163,171,17.7,3.78,2,16,8.8,55.6,95,76,9.5,221,49.6,10,0.29,86,,,,,64.4,87.5,82.2,,90.3,,,56.2,,,0,4,236,48.4,13.2,116.4,4.5,10,40,0,6,18,12,5.1,1752,10.2
Mitch Leidner,46437,QB,MINNESOTA,13,2.42,2.27,3.51,4.81,443,225,74.3,261,269,4.7,1.84,2,7,2.5,65.8,177,61,8.8,270,60.9,17,0.0,79,,,,,76.1,67.9,83.1,,67.0,,,,,,4,5,282,47.0,1.6,80.2,0.4,1,0,0,2,6,8,2.8,1520,5.7,57.8,128,139,17.1,3.33,2,18,12.3,46.0,64,86,13.5,172,38.8,10,-0.06,57,,,,,48.0,53.9,81.0,,54.4,,,55.9,,,2,6,181,37.8,16.3,79.1,8.1,14,19,0,7,9,17,9.4,1170,8.4
Zach Terrell,12086,QB,W MICHIGAN,13,2.79,2.62,3.39,4.97,443,347,81.9,182,185,5.5,1.81,2,8,4.2,72.4,134,37,10.1,190,42.9,15,0.25,67,,,,,74.5,90.2,81.4,,88.9,,,,,,1,4,198,50.0,13.5,116.0,2.6,5,0,0,0,17,4,2.0,1420,7.7,71.8,188,206,11.2,3.52,1,13,5.9,61.7,127,134,5.9,253,57.1,8,0.23,96,,,,,75.9,83.5,62.9,,81.7,,,68.3,,,5,5,268,47.8,19.4,105.5,10.3,26,21,0,12,12,11,4.1,2111,10.2
Jake Rudock,10825,QB,MICHIGAN,13,2.79,2.55,3.31,5.35,442,222,80.0,180,191,4.5,1.81,8,5,2.5,70.2,134,48,6.9,193,43.7,10,0.25,72,,,,,74.6,75.7,81.4,,74.5,,,,,,1,4,201,53.9,4.2,103.7,1.0,2,0,0,2,13,7,3.5,1338,7.0,71.8,177,199,12.2,3.55,2,9,4.3,58.3,116,111,8.7,249,56.3,11,0.11,91,,,,,55.8,68.6,62.6,,69.0,,,60.4,,,7,5,264,46.6,15.3,88.8,6.8,17,33,0,13,8,9,3.4,1680,8.4
Connor Cook,10734,QB,MICH STATE,13,2.69,2.59,3.12,5.32,439,223,72.4,181,190,7.4,1.94,7,12,5.9,62.1,118,36,9.9,194,44.2,13,0.25,72,,,,,74.7,83.2,81.6,,81.6,,,,,,1,2,206,48.5,11.1,94.4,2.1,4,0,0,1,9,6,2.9,1329,7.0,61.4,207,221,14.4,3.28,2,21,9.1,50.2,111,102,12.6,245,55.8,16,0.16,89,,,,,65.4,80.1,60.8,,80.1,,,56.8,,,4,5,257,43.3,11.8,91.1,4.9,12,12,0,8,15,12,4.7,1801,8.1
Nate Sudfeld,10821,QB,INDIANA,12,2.64,2.53,4.26,4.67,438,190,73.5,215,225,6.7,1.98,4,10,4.3,63.1,142,35,10.1,227,51.8,16,0.24,85,,,,,75.2,84.9,82.1,,83.2,,,,,,1,1,232,52.0,5.7,105.8,0.9,2,0,0,5,15,3,1.3,1660,7.4,67.8,177,188,14.8,3.34,0,15,7.6,55.9,105,70,12.5,211,48.2,15,0.21,81,,,,,38.7,74.7,81.9,,76.2,,,48.8,,,3,6,222,44.5,14.3,99.0,4.7,10,13,0,8,12,15,6.8,1913,10.2
Tommy Armstrong Jr.,46589,QB,NEBRASKA,12,2.88,2.67,4.55,6.0,437,238,70.3,195,202,5.7,1.85,6,7,3.3,61.4,124,48,9.5,202,46.2,13,-0.09,65,,,,,74.9,71.4,81.7,,70.4,,,,,,0,5,214,44.6,0.0,90.8,0.0,0,0,0,1,14,6,2.8,1199,5.9,56.9,195,202,17.2,3.77,1,24,11.0,48.5,98,109,11.7,235,53.8,13,0.1,88,,,,,65.1,68.6,82.5,,65.1,,,72.6,,,0,11,251,44.3,9.2,70.7,4.3,10,23,0,6,8,15,6.0,1828,9.0
C.J. Beathard,11859,QB,IOWA,14,2.83,2.52,3.42,5.17,433,192,78.4,176,187,4.9,1.81,6,4,2.1,69.5,130,51,5.8,191,44.1,8,0.07,58,,,,,74.5,77.7,81.3,,76.5,,,,,,4,1,196,49.2,7.8,93.9,2.1,4,0,0,1,4,2,1.0,1299,6.9,64.5,155,176,12.8,3.64,4,10,5.2,52.8,93,127,7.0,242,55.9,7,0.17,86,,,,,35.5,74.6,61.3,,69.6,,,74.8,,,5,4,263,44.2,20.5,97.2,10.7,26,40,0,12,13,9,3.4,1516,8.6
Matt Davis,46456,QB,SMU,12,3.09,2.72,3.91,4.95,427,287,76.4,148,155,4.1,1.75,4,3,1.8,65.2,101,35,10.6,160,37.5,12,0.06,49,,,,,73.9,70.4,80.7,,69.0,,,64.1,,,1,2,172,46.3,11.4,92.8,2.5,4,1,0,2,8,4,2.3,915,5.9,55.5,164,182,19.2,3.9,1,18,9.1,45.6,83,138,8.8,267,62.5,8,-0.13,74,,,,,50.7,65.0,83.2,,59.7,,,71.6,,,2,5,286,33.7,26.8,74.0,13.9,37,48,0,15,8,19,6.6,1343,7.4
