test_year,pos_g,feature_set,n,pick_only_spearman,market_spearman,apex_raw_spearman,apex_plus_spearman,delta_raw_vs_pick,delta_plus_vs_pick,shrink
2019,WR,profile,28,0.5686,0.5658,0.5598,0.5325,-0.0088,-0.0362,0.4
2020,DB,profile,41,0.3327,0.3355,0.3358,0.3583,0.0031,0.0256,0.5
2020,LB,profile,27,0.8137,0.8123,0.7121,0.4211,-0.1016,-0.3926,0.9
2020,OL,profile,39,0.5909,0.5909,0.5909,0.5909,0.0,0.0,0.0
2020,WR,profile,32,0.5467,0.5299,0.4515,0.4844,-0.0952,-0.0623,1.0
2021,DB,profile,48,0.5731,0.5772,0.5596,0.4766,-0.0136,-0.0965,0.6
2021,EDGE,profile,20,0.5027,0.4904,0.4887,0.5023,-0.014,-0.0004,0.4
2021,OL,profile,40,0.5447,0.5505,0.5696,0.5752,0.0249,0.0305,0.1
2021,WR,profile,30,0.7396,0.734,0.734,0.734,-0.0056,-0.0056,0.0
2022,DB,profile,56,0.6426,0.6479,0.6479,0.6479,0.0053,0.0053,0.0
2022,DT,profile,22,0.7241,0.7268,0.7308,0.7228,0.0066,-0.0014,0.4
2022,LB,profile,25,0.7041,0.7052,0.7052,0.7052,0.0011,0.0011,0.0
2022,OL,profile,47,0.6105,0.615,0.6189,0.6276,0.0084,0.0171,0.1
2022,RB,profile,24,0.616,0.616,0.5847,0.5387,-0.0313,-0.0773,0.4
2022,WR,profile,28,0.653,0.653,0.653,0.653,0.0,0.0,0.0
2023,DB,profile,57,0.5844,0.5829,0.6219,0.716,0.0375,0.1316,0.1
2023,DT,profile,24,0.656,0.6532,0.6754,0.7363,0.0194,0.0802,0.4
2023,EDGE,profile,21,0.7387,0.7387,0.7393,0.6642,0.0006,-0.0745,0.4
2023,LB,profile,20,0.4685,0.4725,0.6776,0.7733,0.2091,0.3048,0.6
2023,OL,profile,37,0.7807,0.7804,0.7227,0.5742,-0.058,-0.2065,0.9
2023,RB,profile,20,0.8425,0.8425,0.8425,0.8425,0.0,0.0,0.0
2023,WR,profile,33,0.6035,0.6043,0.6208,0.6114,0.0173,0.0079,0.2
