test_year,train_years,validation_years,n_all,n_drafted,position_specific,n_raw_features,pick_only_spearman_all,pick_only_spearman_drafted,pick_only_hit_auc_drafted,pick_only_precision_at_32,pick_only_precision_at_64,pick_only_ndcg_at_32,pick_only_ndcg_at_64,market_spearman_all,market_spearman_drafted,market_hit_auc_drafted,market_precision_at_32,market_precision_at_64,market_ndcg_at_32,market_ndcg_at_64,candidate_spearman_all,candidate_spearman_drafted,candidate_hit_auc_drafted,candidate_precision_at_32,candidate_precision_at_64,candidate_ndcg_at_32,candidate_ndcg_at_64,delta_candidate_vs_pick_spearman_drafted,delta_candidate_vs_market_spearman_drafted,delta_market_vs_pick_spearman_drafted,ablation,description
2020,<= 2019,2018-2019,325,209,False,17,0.8538,0.605,0.8615,0.4688,0.3906,0.8878,0.9146,0.8499,0.5934,0.8559,0.4688,0.3906,0.8848,0.9164,0.8317,0.5961,0.8421,0.4688,0.375,0.8901,0.9162,-0.0089,0.0027,-0.0117,global_production_only,"All NCAA production features only, plus age and college encoding."
2021,<= 2020,2019-2020,403,199,False,17,0.864,0.5857,0.8108,0.5312,0.4375,0.9261,0.9249,0.8668,0.598,0.8187,0.5625,0.4375,0.9257,0.9182,0.814,0.615,0.8242,0.5625,0.4375,0.9271,0.9202,0.0293,0.017,0.0123,global_production_only,"All NCAA production features only, plus age and college encoding."
2011,<= 2010,2009-2010,365,236,False,12,0.8319,0.6137,0.8263,0.5625,0.3906,0.9282,0.9168,0.8291,0.6043,0.8262,0.5938,0.375,0.9393,0.9133,0.7951,0.5611,0.8153,0.5625,0.375,0.924,0.9059,-0.0526,-0.0432,-0.0094,global_offensive_production_only,"Offensive NCAA production features only, plus age and college encoding."
2012,<= 2011,2010-2011,365,233,False,12,0.8118,0.5832,0.7953,0.5,0.3594,0.9089,0.9042,0.8162,0.5904,0.7913,0.4688,0.3594,0.9066,0.9017,0.8007,0.5911,0.7896,0.5,0.3594,0.8974,0.8933,0.0078,0.0007,0.0071,global_offensive_production_only,"Offensive NCAA production features only, plus age and college encoding."
2013,<= 2012,2011-2012,370,241,False,12,0.8102,0.5765,0.7868,0.4062,0.375,0.8826,0.9038,0.8115,0.585,0.7974,0.4062,0.375,0.8835,0.9053,0.7957,0.5773,0.7953,0.4375,0.375,0.8931,0.9056,0.0008,-0.0077,0.0085,global_offensive_production_only,"Offensive NCAA production features only, plus age and college encoding."
2014,<= 2013,2012-2013,365,243,False,12,0.8008,0.575,0.8003,0.5,0.375,0.9176,0.9031,0.8102,0.5981,0.8094,0.5312,0.375,0.9181,0.9101,0.7902,0.5972,0.8245,0.4688,0.3594,0.9075,0.9126,0.0221,-0.0009,0.0231,global_offensive_production_only,"Offensive NCAA production features only, plus age and college encoding."
2015,<= 2014,2013-2014,732,245,False,12,0.8704,0.5778,0.802,0.75,0.6406,0.9593,0.9492,0.8702,0.5851,0.8063,0.75,0.6719,0.9604,0.9566,0.7354,0.6071,0.8245,0.75,0.6562,0.9575,0.9488,0.0293,0.0219,0.0073,global_offensive_production_only,"Offensive NCAA production features only, plus age and college encoding."
2016,<= 2015,2014-2015,454,246,False,12,0.8672,0.5733,0.7908,0.4688,0.4375,0.9152,0.919,0.8707,0.581,0.7955,0.5,0.4062,0.9203,0.9127,0.8341,0.5894,0.7882,0.4688,0.4062,0.9161,0.912,0.0161,0.0085,0.0077,global_offensive_production_only,"Offensive NCAA production features only, plus age and college encoding."
2017,<= 2016,2015-2016,582,237,False,12,0.8811,0.5762,0.7636,0.5938,0.5156,0.9399,0.9419,0.8825,0.5886,0.779,0.5938,0.5469,0.9438,0.9459,0.7847,0.5671,0.7682,0.625,0.5156,0.9467,0.9442,-0.0092,-0.0215,0.0124,global_offensive_production_only,"Offensive NCAA production features only, plus age and college encoding."
2018,<= 2017,2016-2017,589,240,False,12,0.9132,0.6297,0.8081,0.6875,0.5469,0.9608,0.9498,0.9167,0.6521,0.8236,0.75,0.5469,0.9661,0.9522,0.8282,0.6525,0.8226,0.6875,0.5312,0.9556,0.95,0.0228,0.0004,0.0224,global_offensive_production_only,"Offensive NCAA production features only, plus age and college encoding."
