player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_epa,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_snap,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_positive_epa_percent,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_epa,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_snap,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_positive_epa_percent,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_epa,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_snap,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_positive_epa_percent,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_epa,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_snap,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_positive_epa_percent,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Dylan McCaffrey,60451,QB,MICHIGAN,3,7.14,0,19,222,57.1,14,14,17.0,3.08,0,1,6.7,50.0,7,7,12.5,18,94.7,1,0.25,8,,,,,71.2,92.0,75.2,,89.8,,,78.8,,,,0,0,19,44.4,14.3,120.5,5.6,1,3,0,0,2,0,0.0,125,8.9,62.5,8,8,13.6,2.7,0,1,11.1,50.0,4,5,20.0,10,52.6,1,0.09,4,,,,,71.1,92.4,74.9,,87.8,59.7,,82.3,,,,0,0,11,40.0,0.0,118.8,0.0,0,2,0,0,1,0,0.0,68,8.5,57.1,7,7,18.1,3.27,0,0,0.0,57.1,4,2,0.0,9,47.4,0,0.31,4,,,,,65.1,75.1,69.8,,78.8,,,57.0,,,,0,0,9,44.4,50.0,123.8,11.1,1,1,0,0,1,0,0.0,58,8.3,0,100.0,1,1,-2.0,1.0,0,0,0.0,100.0,1,0,0.0,1,5.3,0,-0.85,0,,,,,60.3,60.3,68.3,,60.6,59.7,,,,,,0,0,1,0.0,,79.2,0.0,0,0,0,0,0,0,0.0,1,1.0,-0.21
Brady McBride,77641,QB,MEMPHIS,3,-45.83,0,18,218,66.7,9,10,10.2,3.12,0,0,0.0,60.0,6,3,0.0,14,77.8,0,-0.12,7,,,,,15.6,38.4,74.8,,57.4,,,37.1,,,,0,0,14,50.0,0.0,82.9,0.0,0,4,0,1,0,1,7.1,74,7.4,100.0,5,6,5.4,3.3,0,0,0.0,83.3,5,2,0.0,10,55.6,0,0.21,5,,,,,13.6,39.4,74.4,,67.5,,,37.1,,,,0,0,10,60.0,0.0,107.6,0.0,0,4,0,1,0,1,10.0,59,9.8,62.5,8,8,6.5,2.19,0,0,0.0,37.5,3,1,40.0,8,44.4,2,-1.24,2,,,,,64.9,53.9,69.5,,53.9,,,,,,,0,1,8,37.5,0.0,8.9,0.0,0,0,0,0,0,0,0.0,29,3.6,0,100.0,4,4,-3.3,1.7,0,0,0.0,50.0,2,0,50.0,4,22.2,2,-1.54,0,,,,,63.3,65.1,67.4,,64.8,,,,,,,0,1,4,50.0,,18.8,0.0,0,0,0,0,0,0,0.0,14,3.5,-6.2
Sean McCormack,40167,QB,LOUISVILLE,2,-30.77,0,18,210,50.0,10,13,19.7,3.16,0,1,7.1,30.8,4,9,20.0,18,100.0,1,-1.05,0,,,,,67.0,52.4,73.9,,56.8,,,51.0,,,,0,1,19,16.7,22.2,8.2,11.1,2,3,0,3,0,0,0.0,29,2.2,50.0,10,13,19.7,3.05,0,1,7.1,30.8,4,9,20.0,17,94.4,1,-1.13,0,,,,,66.8,54.1,73.7,,56.8,,,53.6,,,,0,1,18,11.8,22.2,8.2,11.8,2,2,0,3,0,0,0.0,29,2.2,,0,0,,5.0,0,0,,,0,0,,1,5.6,0,0.34,0,,,,,60.3,53.9,63.6,,,,,57.3,,,,0,0,1,100.0,,0.0,0.0,0,1,0,0,0,0,0.0,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,,,,,,,,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,-2.23
Quinn Shanbour,32073,QB,N TEXAS,5,-42.86,0,18,251,33.3,12,13,10.8,2.33,0,0,0.0,30.8,4,4,0.0,14,77.8,0,-0.89,1,,,,,40.9,55.8,76.2,,28.9,,,71.9,,,,1,2,14,14.3,25.0,1.3,7.1,1,0,0,0,0,2,14.3,41,3.2,46.2,13,14,3.3,2.05,0,0,0.0,42.9,6,5,0.0,16,88.9,0,-0.78,2,,,,,42.3,64.6,76.4,,43.4,,,71.9,,,,1,1,17,18.8,40.0,23.8,12.5,2,0,0,0,0,0,0.0,53,3.8,0.0,2,2,40.5,3.25,0,0,0.0,0.0,0,0,,2,11.1,0,-2.17,0,,,,,61.8,26.7,65.5,,27.0,,,,,,,0,2,2,0.0,,0.0,0.0,0,0,0,0,0,2,100.0,0,0.0,0,66.7,3,3,-2.0,1.68,0,0,0.0,66.7,2,1,0.0,4,22.2,0,-1.12,1,,,,,63.8,55.9,68.1,,55.8,,,,,,,0,1,5,25.0,100.0,34.7,25.0,1,0,0,0,0,0,0.0,12,4.0,-3.79
Tommy Stevens,28301,QB,PENN STATE,5,-27.78,0,18,266,80.0,10,10,14.6,3.61,0,2,20.0,70.0,7,8,12.5,17,94.4,1,-0.72,7,,,,,75.5,63.0,78.5,,72.2,42.9,,62.5,,,,0,1,17,35.3,25.0,96.2,11.8,2,5,0,0,1,1,5.9,101,10.1,77.8,9,9,8.8,3.51,0,1,11.1,77.8,7,7,0.0,14,77.8,0,-0.97,5,,,,70.7,75.7,55.7,78.2,,55.5,45.2,,60.8,,,,0,1,14,35.7,14.3,67.4,7.1,1,4,0,0,0,1,7.1,87,9.7,100.0,2,2,31.0,3.4,0,1,50.0,50.0,1,1,50.0,4,22.2,1,0.7,2,,,,,63.3,91.6,70.2,,91.4,58.7,,64.3,,,,0,0,4,50.0,100.0,131.3,25.0,1,1,0,0,1,0,0.0,23,11.5,0,100.0,1,1,-5.0,1.4,0,0,0.0,100.0,1,0,0.0,1,5.6,0,1.46,0,,,,70.7,63.7,64.2,67.4,,60.4,70.1,,,,,,0,0,1,100.0,,104.2,0.0,0,0,0,0,0,0,0.0,9,9.0,1.83
Chase Forrest,28221,QB,CAL,1,25.0,0,16,130,22.2,9,10,14.1,2.69,0,1,10.0,20.0,2,5,0.0,11,68.8,0,-1.5,2,,,,,65.6,26.5,73.1,,26.1,,,,,,,0,2,11,18.2,20.0,10.4,9.1,1,0,0,1,0,3,27.3,55,5.5,28.6,7,8,15.3,2.83,0,1,12.5,25.0,2,4,0.0,9,56.3,0,-1.2,1,,,,,65.1,33.7,72.8,,31.8,,,,,,,0,1,9,11.1,25.0,7.3,11.1,1,0,0,1,0,2,22.2,38,4.8,66.7,6,6,2.0,1.5,0,0,0.0,50.0,3,2,25.0,7,43.8,1,-1.0,2,,,,,64.6,29.5,69.1,,29.6,,,,,,,0,1,7,28.6,0.0,27.1,0.0,0,0,0,0,0,1,14.3,33,5.5,0,100.0,4,4,-2.0,1.28,0,0,0.0,75.0,3,1,25.0,5,31.3,1,-0.25,1,,,,,63.8,62.6,68.1,,62.4,,,,,,,0,0,5,20.0,0.0,81.3,0.0,0,0,0,0,0,0,0.0,16,4.0,0.75
Gunnar Watson,83570,QB,TROY,2,-25.0,0,15,318,60.0,5,5,6.6,2.7,0,0,0.0,60.0,3,4,0.0,8,53.3,0,-0.73,1,,,,,66.2,67.3,72.7,,71.2,,,57.1,,,,0,0,8,37.5,75.0,71.3,37.5,3,0,0,0,0,0,0.0,23,4.6,75.0,8,8,2.4,2.46,0,0,0.0,75.0,6,4,0.0,11,73.3,0,-0.61,0,,,,,66.7,63.6,73.1,,66.5,,,57.1,,,,0,0,11,36.4,75.0,78.6,27.3,3,0,0,0,0,0,0.0,27,3.4,75.0,4,4,1.3,1.73,0,0,0.0,50.0,2,0,33.3,4,26.7,1,-0.22,2,,,,,63.8,67.1,68.1,,66.8,,,,,,,0,0,5,50.0,,62.5,0.0,0,0,0,0,0,0,0.0,18,4.5,0,85.7,7,7,-1.3,1.77,0,0,0.0,71.4,5,0,16.7,7,46.7,1,-0.25,1,,,,,64.9,61.9,69.5,,61.6,,,,,,,0,0,8,42.9,,74.7,0.0,0,0,0,0,0,0,0.0,22,3.1,1.12
Kason Martin,83531,QB,N TEXAS,2,30.0,0,15,251,66.7,9,9,14.7,2.79,0,2,20.0,55.6,5,3,16.7,11,73.3,1,-0.07,2,,,,,0.0,69.1,74.6,,68.1,,,,,,,0,0,13,27.3,66.7,133.1,18.2,2,0,0,0,1,3,23.1,103,11.4,75.0,8,8,7.6,2.8,0,1,11.1,50.0,4,4,33.3,10,66.7,2,-0.59,1,,,,,0.0,58.5,74.5,,56.8,,,,,,,0,0,12,20.0,50.0,58.3,20.0,2,0,0,0,0,3,25.0,28,3.5,80.0,5,5,15.2,2.24,0,1,16.7,80.0,4,0,0.0,5,33.3,0,1.0,2,,,,,64.2,83.7,68.6,,83.1,,,,,,,0,0,6,60.0,,158.3,0.0,0,0,0,0,1,0,0.0,97,19.4,0,100.0,4,4,1.3,2.13,0,0,0.0,75.0,3,1,25.0,4,26.7,1,-0.05,1,,,,,63.8,65.7,68.1,,65.4,,,,,,,0,0,5,50.0,0.0,87.5,0.0,0,0,0,0,0,0,0.0,22,5.5,15.9
Sam Noyer,40048,QB,COLORADO,3,50.0,0,15,143,62.5,8,10,8.3,1.94,1,0,0.0,50.0,5,2,0.0,11,73.3,0,-1.16,4,,,,,22.0,32.9,75.6,,39.1,,,42.1,,,,0,2,11,36.4,50.0,24.2,9.1,1,0,0,1,0,1,9.1,48,4.8,60.0,10,12,4.5,2.05,1,0,0.0,50.0,6,3,0.0,13,86.7,0,-1.11,3,,,,,23.1,28.4,75.7,,29.5,,,42.1,,,,0,2,13,30.8,33.3,22.9,7.7,1,0,0,1,0,2,15.4,54,4.5,100.0,2,2,0.5,1.1,0,0,0.0,100.0,2,0,0.0,2,13.3,0,-0.03,1,,,,,61.8,57.4,65.5,,57.4,,,,,,,0,0,2,50.0,,79.2,0.0,0,0,0,0,0,0,0.0,6,3.0,0,75.0,4,4,-5.0,1.88,0,0,0.0,75.0,3,1,0.0,4,26.7,0,-0.41,0,,,,,63.3,30.4,67.4,,30.8,,,,,,,0,0,4,25.0,0.0,77.1,0.0,0,0,0,0,0,1,25.0,12,3.0,-1.5
Grant Loy,40276,QB,BOWL GREEN,8,16.67,0,15,122,58.3,12,13,19.5,2.59,0,0,0.0,53.8,7,3,0.0,15,100.0,0,0.83,8,,,,,48.1,53.2,22.2,,54.1,60.0,,57.1,,,,0,1,16,53.3,0.0,106.6,0.0,0,2,1,0,2,1,6.3,180,13.8,55.6,9,10,21.3,2.47,0,0,0.0,50.0,5,2,0.0,11,73.3,0,0.62,6,,,,,46.7,56.5,20.2,,59.1,59.9,,58.1,,,,0,1,12,54.5,0.0,79.2,0.0,0,1,1,0,1,0,0.0,100,10.0,66.7,3,3,14.0,2.93,0,0,0.0,66.7,2,1,0.0,4,26.7,0,1.4,2,,,,,63.3,45.1,68.9,,47.9,60.0,,57.0,,,,0,0,4,50.0,0.0,149.3,0.0,0,1,0,0,1,1,25.0,80,26.7,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,,,60.0,64.9,,,59.9,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,16.67
Taylor Powell,60459,QB,MISSOURI,4,30.3,0,15,229,66.7,12,13,13.9,2.96,0,2,13.3,46.2,6,2,25.0,14,93.3,2,-0.01,4,,,,,67.4,65.8,75.7,,66.9,,,56.7,,,,0,0,16,28.6,0.0,83.5,0.0,0,1,0,1,0,0,0.0,134,10.3,70.0,10,11,15.0,3.09,0,2,16.7,36.4,4,2,42.9,12,80.0,3,-0.05,3,,,,,67.0,69.3,75.4,,71.2,,,56.7,,,,0,0,13,25.0,0.0,74.1,0.0,0,1,0,1,0,0,0.0,110,10.0,66.7,3,3,5.7,1.87,0,0,0.0,66.7,2,0,0.0,3,20.0,0,-0.15,1,,,,,63.3,54.8,67.4,,54.8,,,,,,,0,0,4,33.3,,91.0,0.0,0,0,0,0,0,0,0.0,24,8.0,0,100.0,1,1,0.0,1.3,0,0,0.0,0.0,0,0,100.0,1,6.7,1,-0.87,0,,,,,60.3,60.6,63.6,,60.4,,,,,,,0,0,1,0.0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,-2.0
Jake Haener,60596,QB,WASHINGTON,3,-4.76,0,14,340,66.7,9,10,15.9,2.79,1,3,30.0,60.0,6,4,0.0,11,78.6,0,-0.15,5,,,,,66.7,69.4,74.0,,70.4,,,58.7,,,,0,1,11,45.5,25.0,90.0,9.1,1,0,0,0,1,2,18.2,106,10.6,71.4,7,7,9.4,2.68,0,1,14.3,71.4,5,3,0.0,8,57.1,0,-0.86,3,,,,,66.2,49.0,73.6,,47.8,,,58.7,,,,0,1,8,37.5,33.3,53.6,12.5,1,0,0,0,0,2,25.0,53,7.6,80.0,5,6,12.8,2.37,1,2,33.3,66.7,4,1,0.0,6,42.9,0,0.64,3,,,,,64.2,90.7,68.6,,90.4,,,,,,,0,0,6,66.7,0.0,134.7,0.0,0,0,0,0,1,0,0.0,54,9.0,0,100.0,3,3,-4.3,1.63,0,0,0.0,100.0,3,0,0.0,3,21.4,0,-0.46,1,,,,,62.7,64.1,66.6,,63.9,,,,,,,0,0,3,66.7,,79.2,0.0,0,0,0,0,0,0,0.0,1,0.3,1.43
Jorge Reyna,60384,QB,FRESNO ST,6,12.5,0,14,169,80.0,10,11,12.1,2.56,1,2,16.7,63.6,7,2,12.5,13,92.9,1,0.38,3,,,,,38.6,76.0,23.7,,86.5,,,61.8,,,,0,0,14,69.2,0.0,125.9,0.0,0,2,0,0,1,0,0.0,107,9.7,75.0,8,8,10.9,2.51,0,1,11.1,62.5,5,1,16.7,9,64.3,1,0.38,2,,,,,36.1,72.4,21.9,,78.3,,,63.5,,,,0,0,10,66.7,0.0,127.6,0.0,0,1,0,0,1,0,0.0,65,8.1,100.0,3,4,10.3,2.5,1,1,20.0,75.0,3,1,0.0,5,35.7,0,0.27,1,,,,,64.2,74.9,68.6,,81.2,,,57.3,,,,0,0,6,60.0,0.0,112.5,0.0,0,1,0,0,0,0,0.0,46,11.5,0,100.0,1,1,-3.0,1.8,0,0,0.0,100.0,1,0,0.0,1,7.1,0,-0.18,0,,,,,61.8,60.9,65.5,,60.8,,,,,,,0,0,2,0.0,,83.3,0.0,0,0,0,0,0,0,0.0,4,4.0,3.37
Peyton Mansell,82135,QB,IOWA,5,42.86,0,14,192,62.5,8,8,10.0,3.03,0,1,11.1,62.5,5,5,0.0,14,100.0,0,0.13,5,,,,,68.0,48.9,75.7,,28.8,,,72.8,,,,0,1,15,50.0,20.0,57.8,7.1,1,5,0,0,0,3,20.0,83,10.4,57.1,7,7,10.0,2.62,0,1,14.3,57.1,4,3,0.0,9,64.3,0,0.06,3,,,,,67.4,38.4,75.3,,28.4,,,62.9,,,,0,1,9,44.4,0.0,41.7,0.0,0,2,0,0,0,2,22.2,53,7.6,100.0,1,1,10.0,3.76,0,0,0.0,100.0,1,2,0.0,5,35.7,0,0.25,2,,,,,63.8,72.2,68.6,,50.2,,,75.2,,,,0,0,6,60.0,50.0,118.8,20.0,1,3,0,0,0,1,16.7,30,30.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,,,,,,,,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,22.43
Mac Jones,60323,QB,ALABAMA,5,36.67,0,14,103,40.0,10,10,9.9,2.25,0,1,10.0,30.0,3,6,25.0,11,78.6,1,0.05,2,,,,,26.4,59.9,34.3,,68.7,,,49.2,,,,0,0,11,27.3,16.7,112.5,9.1,1,0,0,0,1,0,0.0,129,12.9,40.0,10,10,6.3,2.21,0,1,10.0,30.0,3,5,25.0,11,78.6,1,-0.92,1,,,,,26.4,59.7,34.3,,68.9,,,49.2,,,,0,0,11,9.1,20.0,39.6,9.1,1,0,0,0,0,0,0.0,24,2.4,66.7,3,3,9.3,2.13,0,0,0.0,66.7,2,2,0.0,3,21.4,0,2.19,1,,,,,62.7,64.1,66.6,,63.9,,,,,,,0,0,3,66.7,0.0,149.3,0.0,0,0,0,0,1,0,0.0,99,33.0,0,66.7,3,3,-2.7,1.97,0,0,0.0,66.7,2,1,0.0,3,21.4,0,-1.4,0,,,,,62.7,64.0,66.6,,63.8,,,,,,,0,0,3,0.0,0.0,70.1,0.0,0,0,0,0,0,0,0.0,-6,-2.0,30.6
Matthew McKay,60485,QB,NC STATE,5,-25.0,0,13,248,83.3,6,6,16.0,3.75,0,0,0.0,83.3,5,5,0.0,11,84.6,0,0.35,5,,,,,71.6,60.5,74.5,,69.8,,,55.0,,,,0,0,12,63.6,0.0,118.8,0.0,0,5,0,0,0,0,0.0,80,13.3,100.0,4,4,12.5,3.76,0,0,0.0,100.0,4,4,0.0,8,61.5,0,0.32,3,,,,,71.6,61.9,74.2,,78.7,,,53.3,,,,0,0,9,62.5,0.0,118.8,0.0,0,4,0,0,0,0,0.0,65,16.3,75.0,4,4,10.5,2.8,0,0,0.0,75.0,3,1,0.0,5,38.5,0,0.32,2,,,,,63.8,58.9,68.1,,54.5,,,61.7,,,,0,0,5,60.0,0.0,87.5,0.0,0,1,0,0,0,0,0.0,22,5.5,0,100.0,2,2,-2.0,1.45,0,0,0.0,100.0,2,0,0.0,2,15.4,0,0.15,0,,,,,61.8,62.9,65.5,,62.7,,,,,,,0,0,2,50.0,,81.3,0.0,0,0,0,0,0,0,0.0,7,3.5,-10.75
Chris Katrenick,60365,QB,DUKE,1,-11.11,0,12,154,66.7,9,11,9.2,1.82,1,1,9.1,36.4,4,5,33.3,11,91.7,2,-0.02,3,,,,,67.6,74.5,75.5,,80.0,,,54.3,,,,1,0,11,36.4,0.0,80.1,0.0,0,0,0,0,1,0,0.0,46,4.2,62.5,8,9,9.0,1.71,0,1,11.1,44.4,4,3,20.0,9,75.0,1,0.11,2,,,,,67.4,72.2,75.4,,78.0,,,54.3,,,,1,0,9,44.4,0.0,62.7,0.0,0,0,0,0,0,0,0.0,51,5.7,100.0,2,3,5.0,1.87,1,0,0.0,33.3,1,2,50.0,3,25.0,1,-0.14,1,,,,,62.7,70.0,66.6,,69.6,,,,,,,0,0,3,33.3,0.0,81.9,0.0,0,0,0,0,1,0,0.0,3,1.0,0,100.0,1,1,-1.0,1.0,0,0,0.0,100.0,1,0,0.0,1,8.3,0,0.82,0,,,,,60.3,60.6,63.6,,60.4,,,,,,,0,0,1,100.0,,100.0,0.0,0,0,0,0,0,0,0.0,8,8.0,-4.67
Carter Bradley,77685,QB,TOLEDO,3,-50.0,0,12,316,42.9,7,7,14.6,3.13,0,0,0.0,42.9,3,4,0.0,10,83.3,0,-0.82,2,,,,,65.4,58.0,74.5,,58.9,,,57.3,,,,0,0,10,20.0,50.0,67.6,20.0,2,1,0,0,0,0,0.0,50,7.1,50.0,8,8,12.3,2.95,0,0,0.0,50.0,4,4,0.0,11,91.7,0,-0.88,2,,,,,65.6,60.2,74.6,,58.4,,,,,,,0,0,11,18.2,75.0,71.9,27.3,3,0,0,0,0,0,0.0,54,6.8,,0,0,,4.8,0,0,,,0,1,,1,8.3,0,-0.21,0,,,,,60.3,53.9,63.6,,,,,57.3,,,,0,0,1,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,,0,100.0,1,1,-4.0,2.95,0,0,0.0,100.0,1,1,0.0,2,16.7,0,-0.87,0,,,,,61.8,58.9,65.5,,58.9,,,,,,,0,0,2,0.0,100.0,83.3,50.0,1,0,0,0,0,0,0.0,4,4.0,-6.75
Noah Vedral,55406,QB,NEBRASKA,1,50.0,0,12,238,33.3,6,7,11.3,3.01,0,0,0.0,0.0,0,3,100.0,10,83.3,2,-1.26,0,,,,,22.5,28.3,72.7,,24.1,,,65.1,,,,0,1,10,0.0,66.7,0.0,20.0,2,1,0,1,0,2,20.0,0,0.0,40.0,5,5,8.6,2.48,0,0,0.0,0.0,0,2,100.0,8,66.7,2,-1.41,0,,,,,21.3,28.6,72.4,,23.8,,,65.1,,,,0,1,8,0.0,100.0,0.0,25.0,2,1,0,0,0,2,25.0,0,0.0,66.7,3,4,7.3,3.53,0,0,0.0,50.0,2,1,0.0,4,33.3,0,0.29,1,,,,,63.3,51.9,67.4,,51.9,,,,,,,0,0,4,50.0,0.0,74.0,0.0,0,0,0,1,0,0,0.0,29,7.3,0,100.0,2,2,-1.5,1.9,0,0,0.0,100.0,2,0,0.0,2,16.7,0,1.23,1,,,,,61.8,62.8,65.5,,62.6,,,,,,,0,0,2,100.0,,118.8,0.0,0,0,0,0,0,0,0.0,29,14.5,7.25
Matt Fink,40553,QB,USC,2,-5.0,0,12,326,83.3,6,7,12.2,3.97,0,0,0.0,71.4,5,4,0.0,10,83.3,0,0.82,5,,,,,70.5,67.5,74.4,,68.6,,,61.2,,,,1,0,10,60.0,0.0,125.6,0.0,0,3,0,0,1,0,0.0,41,5.9,100.0,4,5,0.0,2.63,0,0,0.0,80.0,4,2,0.0,6,50.0,0,0.45,2,,,,,70.4,62.4,74.0,,61.5,,,60.2,,,,1,0,6,50.0,0.0,86.7,0.0,0,1,0,0,0,0,0.0,24,4.8,75.0,4,4,16.3,4.45,0,0,0.0,75.0,3,2,0.0,6,50.0,0,0.6,3,,,,,64.2,71.6,68.6,,71.4,,,61.8,,,,0,0,6,50.0,0.0,127.1,0.0,0,2,0,0,1,0,0.0,22,5.5,0,100.0,2,2,-4.0,1.4,0,0,0.0,100.0,2,0,0.0,2,16.7,0,-0.93,0,,,,,61.8,62.9,65.5,,62.7,,,,,,,0,0,2,0.0,,79.2,0.0,0,0,0,0,0,0,0.0,5,2.5,0.7
Colby Suits,82143,QB,LA MONROE,1,50.0,0,12,209,62.5,8,8,19.3,2.49,0,1,12.5,50.0,4,4,20.0,10,83.3,1,0.06,3,,,,,20.3,63.7,71.6,,53.7,,,71.5,,,,0,0,10,50.0,25.0,118.2,10.0,1,1,0,0,1,2,20.0,67,8.4,62.5,8,8,18.0,2.37,0,1,12.5,50.0,4,4,20.0,10,83.3,1,0.08,4,,,,,20.3,63.9,71.6,,53.7,,,71.5,,,,0,0,10,50.0,25.0,122.4,10.0,1,1,0,0,1,2,20.0,75,9.4,100.0,2,2,0.5,1.55,0,0,0.0,100.0,2,0,0.0,2,16.7,0,0.94,0,,,,,61.8,62.4,65.5,,62.3,,,,,,,0,0,2,100.0,,100.0,0.0,0,0,0,0,0,0,0.0,16,8.0,0,100.0,2,2,-4.5,0.95,0,0,0.0,100.0,2,0,0.0,2,16.7,0,1.04,1,,,,,61.8,62.8,65.5,,62.6,,,,,,,0,0,2,100.0,,116.7,0.0,0,0,0,0,0,0,0.0,24,12.0,-1.38
Chazz Surratt,40313,QB,N CAROLINA,1,38.1,0,11,245,50.0,6,7,4.5,2.9,1,0,0.0,42.9,3,3,0.0,8,72.7,0,-2.1,0,,,,,25.1,61.1,73.6,,25.3,,,87.5,,,,0,2,8,12.5,33.3,10.7,12.5,1,0,0,0,0,2,25.0,12,1.7,28.6,7,7,1.6,2.55,0,0,0.0,28.6,2,2,0.0,8,72.7,0,-2.66,0,,,,,25.1,40.9,73.6,,20.1,,,87.5,,,,0,3,8,12.5,50.0,0.0,12.5,1,0,0,0,0,3,37.5,2,0.3,100.0,2,3,0.0,2.6,1,0,0.0,66.7,2,2,0.0,3,27.3,0,-0.2,0,,,,,62.7,60.3,66.6,,60.2,,,,,,,0,0,3,33.3,0.0,70.1,0.0,0,0,0,0,0,0,0.0,8,2.7,0,33.3,3,3,-5.3,1.67,0,0,0.0,33.3,1,1,0.0,3,27.3,0,-1.7,0,,,,,62.7,24.0,66.6,,24.4,,,,,,,0,1,3,33.3,0.0,2.8,0.0,0,0,0,0,0,1,33.3,-2,-0.7,2.38
